name,is_composer,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Dębski Krzesimir,true,26 October 1953,Wałbrzych,,,https://polmic.pl/en/encyclopedia/subject-entries/d/debski-krzesimir-en,false,
Dębski Radzimir,true,30 April 1987,Szczecin,,,https://polmic.pl/en/encyclopedia/subject-entries/d/debski-radzimir-en,false,
Dera Jakub,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dera-jakub-en,false,
Dixa Tadeusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dixa-tadeusz-en,false,
Długoraj Wojciech (Albert),true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dlugoraj-wojciech-albert-en,false,
Długosz Magdalena,true,23 March 1954,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dlugosz-magdalena-en,false,
Dobrowolski Andrzej,true,9th September 1921,Lwów (Lvov),8th August 1990,Graz,https://polmic.pl/en/encyclopedia/subject-entries/d/dobrowolski-andrzej-en,true,Q2622143
Dobrzański Tadeusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dobrzanski-tadeusz-en,false,
Dobrzyński Ignacy Feliks,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dobrzynski-ignacy-feliks-en,false,
Dobrzyński Michał,true,24th November 1980,Szczecin,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dobrzynski-michal-en,false,
Domagała Jacek,true,19th August 1947,Szczecinek,,,https://polmic.pl/en/encyclopedia/subject-entries/d/domagala-jacek-en,false,
Domański Edward G.,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/domanski-edward-g-en,false,
Dominiczak Robert,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/d/dominiczak-robert-en,false,
Domżał Józef,true,"December 11, 2003",Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/d/domzal-jozef-en,false,
Ejsmont Piotr,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/e/ejsmont-piotr-en,false,
Ekier Jan,true,29August 1913,Cracow,,,https://polmic.pl/en/encyclopedia/subject-entries/e/ekier-jan-en,true,Q3137921
Elsner Józef Antoni Franciszek,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/e/elsner-jozef-antoni-franciszek-en,false,
Esztényi Szabolcs,true,20th December 1939,Budapest,29th June 2024,Warsaw,https://polmic.pl/en/encyclopedia/subject-entries/e/esztenyi-szabolcs-en,true,Q11836663
Fabiańska-Jelińska Ewa,true,13th November 1989,Toruń,,,https://polmic.pl/en/encyclopedia/subject-entries/f/fabianska-jelinska-ewa-en,false,
Falenta Adam,true,"December 17, 2005",Toruń,,,https://polmic.pl/en/encyclopedia/subject-entries/f/falenta-adam-en,false,
Falkiewicz Adam,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/f/falkiewicz-adam-en,false,
Farcinkiewicz Łukasz,true,21st June 1981,Warsaw,,,https://polmic.pl/en/encyclopedia/subject-entries/f/farcinkiewicz-lukasz-en,false,
Filus Sylvia,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/f/filus-sylvia-en,false,
Fitelberg Grzegorz,true,"October 18, 1879",Daugavpils (Latvia),"June 10, 1953",Katowice,https://polmic.pl/en/encyclopedia/subject-entries/f/fitelberg-grzegorz-en,true,Q983103
Fitelberg Jerzy,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/f/fitelberg-jerzy-en,false,
Florczyk Janusz,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/f/florczyk-janusz-en,false,
Foltyn Adrian,true,22nd April 1978,Wrocław,,,https://polmic.pl/en/encyclopedia/subject-entries/f/foltyn-adrian-en,false,
Fontana Julian,true,,,,,https://polmic.pl/en/encyclopedia/subject-entries/f/fontana-julian-en,false,
Fotek Jan,true,28th November 1928,Czerwińsk on the Vistula,,,https://polmic.pl/en/encyclopedia/subject-entries/f/fotek-jan-en,false,
