article,name,birth,death,flourish,era
Johann Christoph Bach (1671-1721),Johann Christoph Bach,1671,1721,,Baroque
Azzolino Bernardino della Ciaja,Azzolino della Ciaja,1671,1755,,Baroque
Gaspard Corrette,Gaspard Corrette,c. 1671,before 1733,,Baroque
Charles-Hubert Gervais,Charles-Hubert Gervais,1671,1744,,Baroque
Teodorico Pedrini,Teodorico Pedrini,1671,1746,,Baroque
François Estienne,François Estienne,1671,1755,,Baroque
Robert Valentine (composer),Robert Valentine,c. 1671,1747,,Baroque
Carlo Agostino Badia,Carlo Agostino Badia,1672,1738,,Baroque
Francesco Antonio Bonporti,Francesco Antonio Bonporti,1672,1749,,Baroque
André Cardinal Destouches,André Cardinal Destouches,1672,1749,,Baroque
Nicolas de Grigny,Nicolas de Grigny,1672,1703,,Baroque
François Duval (disambiguation),François Duval,1672 , 1728,,Baroque
Francesco Mancini (composer),Francesco Mancini,1672,1737,,Baroque
Antoine Forqueray,Antoine Forqueray,1672,1745,,Baroque
Georg Caspar Schürmann,Georg Caspar Schürmann,1672/1673,1751,,Baroque
Petrus Hercules Brehy,Petrus Hercules Brehy,1673,1737,,Baroque
Antonio de Literes,Antonio de Literes,1673,1747,,Baroque
Santiago de Murcia,Santiago de Murcia,1673,1739,,Baroque
Jeremiah Clarke,Jeremiah Clarke,c. 1674,1707,,Baroque
Reinhard Keiser,Reinhard Keiser,1674,1739,,Baroque
Pierre Dumage,Pierre Dumage,c. 1674,1751,,Baroque
Jacques-Martin Hotteterre,Jacques-Martin Hotteterre,1674,1763,,Baroque
Evaristo Felice Dall'Abaco,Evaristo Felice Dall'Abaco,1675,1742,,Baroque
Michel de la Barre,Michel de la Barre,c. 1675,1745,,Baroque
Louis de La Coste,Louis de La Coste,c. 1675,c. 1750,,Baroque
Pietro Paolo Laurenti,Pietro Paolo Laurenti,1675,1719,,Baroque
Jacques de Bournonville,Jacques de Bournonville,1675,175?,,Baroque
Giovanni Porta,Giovanni Porta,c. 1675,1755,,Baroque
Obadiah Shuttleworth,Obadiah Shuttleworth,c. 1675?,1734,,Baroque
Francesco Venturini,Francesco Venturini,c. 1675,1745,,Baroque
Johann Bernhard Bach,Johann Bernhard Bach,1676,1749,,Baroque
Diogenio Bigaglia,Diogenio Bigaglia,1676,1745,,Baroque
Louis-Nicolas Clérambault,Louis-Nicolas Clérambault,1676,1749,,Baroque
Thomas-Louis Bourgeois,Thomas-Louis Bourgeois,1676,1750,,Baroque
Giacomo Facco,Giacomo Facco,1676,1753,,Baroque
Nicolas Racot de Grandval,Nicolas Racot de Grandval,1676,1753,,Baroque
Wolff Jakob Lauffensteiner,Wolff Jakob Lauffensteiner,1676,1754,,Baroque
Giuseppe Maria Orlandini,Giuseppe Maria Orlandini,1676,1760,,Baroque
John Weldon (musician),John Weldon,1676,1736,,Baroque
Jean-Baptiste Anet,Jean-Baptiste Anet,1676 , 1755,,Baroque
Johann Ludwig Bach,Johann Ludwig Bach,1677,1731,,Baroque
Antonio Maria Bononcini,Antonio Maria Bononcini,1677,1726,,Baroque
Giovanni Carlo Maria Clari,Giovanni Carlo Maria Clari,1677,1754,,Baroque
Johann Wilhelm Drese,Johann Wilhelm Drese,1677,1745,,Baroque
Nicola Fago,Francesco Nicola Fago,1677,1745,,Baroque
Jean-Baptiste Morin (composer),Jean-Baptiste Morin,1677,1745,,Baroque
Alexandre Villeneuve,Alexandre Villeneuve,1677,1758,,Baroque
Christian Petzold (composer),Christian Petzold,1677,1733,,Baroque
Bonaventure Gilles,Bonaventure Gilles,1678?,1758,,Baroque
William Croft,William Croft,1678,1727,,Baroque
Ferdinando Antonio Lazzari,Ferdinando Antonio Lazzari,1678,1754,,Baroque
Giovanni Antonio Piani,Giovanni Antonio Piani,1678,1760,,Baroque
Antonio Vivaldi,Antonio Vivaldi,1678,1741,,Baroque
Manuel de Zumaya,Manuel de Zumaya,c. 1678,1755,,Baroque
Georg Friedrich Kauffmann,Georg Friedrich Kauffmann,1679,1735,,Baroque
Domenico Sarro,Domenico Sarro,1679,1744,,Baroque
Pietro Filippo Scarlatti,Pietro Filippo Scarlatti,1679,1750,,Baroque
Johann Christian Schieferdecker,Johann Christian Schieferdecker,1679,1732,,Baroque
Jan Dismas Zelenka,Jan Dismas Zelenka,1679,1745,,Baroque
Françoise-Charlotte de Senneterre Ménétou,Françoise-Charlotte de Senneterre Ménétou,1679,1745,,Baroque
Toussaint Bertin de la Doué,Toussaint Bertin de la Doué,c. 1680,1743,,Baroque
William Corbett (composer),William Corbett,1680,1748,,Baroque
Giuseppe Fedeli,Giuseppe Fedeli,c. 1680,c. 1745,,Baroque
Jean-Adam Guilain,Jean-Adam Guilain,c. 1680,after 1739,,Baroque
Jean-Baptiste Loeillet of London,Jean-Baptiste Loeillet ''of London'',1680,1730,,Baroque
Giovanni Mossi,Giovanni Mossi,c. 1680?,1742,,Baroque
Jacques Morel (composer),Jacques Morel (composer),c. 1680 , c. 1740,,Baroque
Jean-Baptiste Stuck,Jean-Baptiste Stuck,1680,1755,,Baroque
Richard Jones (composer),Richard Jones,1680,1744,,Baroque
Emanuele d'Astorga,Emanuele d'Astorga,1681,1736,,Baroque
Carl Heinrich Biber,Carl Heinrich Biber,1681,1749,,Baroque
Francesco Bartolomeo Conti,Francesco Bartolomeo Conti,1681,1732,,Baroque
Johann Mattheson,Johann Mattheson,1681,1764,,Baroque
Anne Danican Philidor,Anne Danican Philidor,1681,1728,,Baroque
Giovanni Reali (composer),Giovanni Reali,c. 1681,after 1727,,Baroque
Georg Philipp Telemann,Georg Philipp Telemann,1681,1767,,Baroque
Giuseppe Valentini,Giuseppe Valentini,1681,1753,,Baroque
Paolo Benedetto Bellinzani,Paolo Benedetto Bellinzani,1682,1757,,Baroque
Giacobbe Cervetto,Giacobbe Cervetto,c. 1682,1783,,Baroque
Jean-François Dandrieu,Jean-François Dandrieu,c. 1682,1738,,Baroque
Jean-Joseph Mouret,Jean-Joseph Mouret,1682,1738,,Baroque
Valentin Rathgeber,Valentin Rathgeber,1682,1750,,Baroque
Pietro Baldassare,Pietro Baldassare,c. 1683,after 1768,,Baroque
Roque Ceruti,Roque Ceruti,c. 1683,1760,,Baroque
Christoph Graupner,Christoph Graupner,1683,1760,,Baroque
Johann David Heinichen,Johann David Heinichen,1683,1729,,Baroque
Jean-Philippe Rameau,Jean-Philippe Rameau,1683,1764,,Baroque
Giovanni Veneziano,Giovanni Veneziano,1683,1742,,Baroque
François d'Agincourt,François d'Agincourt,1684,1758,,Baroque
François Bouvard,François Bouvard,c. 1684,1760,,Baroque
Bohuslav Matěj Černohorský,Bohuslav Matěj Černohorský,1684,1742,,Baroque
Francesco Durante,Francesco Durante,1684,1755,,Baroque
Francesco Manfredini,Francesco Manfredini,1684,1762,,Baroque
Johann Jacob de Neufville,Johann Jacob de Neufville,1684,1712,,Baroque
Johann Theodor Roemhildt,Johann Theodor Roemhildt,1684,1756,,Baroque
Johann Gottfried Walther,Johann Gottfried Walther,1684,1748,,Baroque
Giuseppe Matteo Alberti,Giuseppe Matteo Alberti,1685,1751,,Baroque
Johann Sebastian Bach,Johann Sebastian Bach,1685,1750,,Baroque
Louis-Antoine Dornel,Louis-Antoine Dornel,c. 1685,1765,,Baroque
Lodovico Giustini,Lodovico Giustini,1685,1743,,Baroque
Henri-Guillaume Hamal,Henri-Guillaume Hamal,1685,1752,,Baroque
George Frideric Handel,George Frideric Handel,1685,1759,,Baroque
Václav Gunther Jacob,Václav Gunther Jacob,1685,1734,,Baroque
Jacques Loeillet,Jacques Loeillet,1685,1748,,Baroque
Roland Marais,Roland Marais,c. 1685,c. 1750,,Baroque
Wilhelm Hieronymus Pachelbel,Wilhelm Hieronymus Pachelbel,c. 1685,1764,,Baroque
Domenico Scarlatti,Domenico Scarlatti,1685,1757,,Baroque
Pietro Giuseppe Gaetano Boni,Pietro Giuseppe Gaetano Boni,c. 1686,after 1741,,Baroque
Jean-Joseph Fiocco,Jean-Joseph Fiocco,1686,1746,,Baroque
François Campion,François Campion,1686,1747,,Baroque
Benedetto Marcello,Benedetto Marcello,1686,1739,,Baroque
Nicola Porpora,Nicola Porpora,1686,1768,,Baroque
Giovanni Battista Somis,Giovanni Battista Somis,1686,1763,,Baroque
Jean-Baptiste Senaillé,Jean-Baptiste Semaillé,1687,1730,,Baroque
Johann Adam Birkenstock,Johann Adam Birkenstock,1687,1733,,Baroque
Henry Carey (writer),Henry Carey,1687,1743,,Baroque
Willem de Fesch,Willem de Fesch,1687,1761,,Baroque
Johann Ernst Galliard,Johann Ernst Galliard,1687,1749,,Baroque
Francesco Geminiani,Francesco Geminiani,1687,1762,,Baroque
Johann Georg Pisendel,Johann Georg Pisendel,1687,1755,,Baroque
Jean Baptiste Senaillé,Jean Baptiste Senaillé,1687,1730,,Baroque
Jean-Baptiste-Maurice Quinault,Jean-Baptiste-Maurice Quinault,1687,1745,,Baroque
Sylvius Leopold Weiss,Sylvius Leopold Weiss,1687,1750,,Baroque
Michele Falco,Michele Falco,c. 1688,after 1732,,Baroque
Johann Friedrich Fasch,Johann Friedrich Fasch,1688,1758,,Baroque
Jacob Herman Klein,Jacob Klein,1688,1748,,Baroque
Jean-Baptiste Loeillet of Ghent,Jean-Baptiste Loeillet,1688,1720,,Baroque
Joseph Michel,Joseph Michel,1688,1736,,Baroque
Thomas Roseingrave,Thomas Roseingrave,1688,1766,,Baroque
Domenico Zipoli,Domenico Zipoli,1688,1726,,Baroque
Jacques Aubert,Jacques Aubert,1689,1753,,Baroque
Jean Cappus,Jean-Baptiste Cappus,1689 , 1751,,Baroque
William Babell,William Babell,c. 1689,1723,,Baroque
Joseph Bodin de Boismortier,Joseph Bodin de Boismortier,1689,1755,,Baroque
Jan Josef Ignác Brentner,Jan Josef Ignác Brentner,1689,1742,,Baroque
Charles Levens,Charles Levens,1689,1764,,Baroque
Pietro Gnocchi,Pietro Gnocchi,1689,1775,,Baroque
Jean-Baptiste Quentin,Jean-Baptiste Quentin,before 1690,c. 1742,,Baroque
Francesco Barsanti,Francesco Barsanti,1690,1772,,Baroque
Jean Daniel Braun,Jean Daniel Braun,c. 1690?,c. 1740,,Baroque
Giuseppe Antonio Brescianello,Giuseppe Antonio Brescianello,c. 1690 , 1758,,Baroque
Fortunato Chelleri,Fortunato Chelleri,1690,1757,,Baroque
François Colin de Blamont,François Colin de Blamont,1690,1760,,Baroque
Giovanni Antonio Giay,Giovanni Antonio Giai,1690,1764,,Baroque
Johann Tobias Krebs,Johann Tobias Krebs,1690,1762,,Baroque
Gottlieb Muffat,Gottlieb Muffat,1690,1770,,Baroque
Jacques-Christophe Naudot,Jacques-Christophe Naudot,c. 1690,1762,,Baroque
Charles Theodore Pachelbel,Charles Theodore Pachelbel,1690,1750,,Baroque
Manuel José de Quirós,Manuel José de Quirós,c. 1690?,1765,,Baroque
Gottfried Heinrich Stölzel,Gottfried Heinrich Stölzel,1690,1749,,Baroque
Carlo Tessarini,Carlo Tessarini,1690,1766,,Baroque
Francesco Maria Veracini,Francesco Maria Veracini,1690,1768,,Baroque
Leonardo Vinci,Leonardo Vinci,c. 1690,1730,,Baroque
Jean-Baptiste Niel,Jean-Baptiste Niel,1690,1775,,Baroque
Robert Woodcock,Robert Woodcock,c. 1690 , 1728,,Baroque
Francesco Feo,Francesco Feo,1691,1761,,Baroque
Jan Francisci,Jan Francisci,1691,1758,,Baroque
Conrad Friedrich Hurlebusch,Conrad Friedrich Hurlebusch,1691,1765,,Baroque
Louis Homet,Louis Homet,1691,1767,,Baroque
Martin Berteau,Martin Berteau,1691,1771,,Baroque
Geminiano Giacomelli,Geminiano Giacomelli,1692,1740,,Baroque
Antonio Palella,Antonio Palella,1692,1761,,Baroque
Giovanni Alberto Ristori,Giovanni Alberto Ristori,1692,1753,,Baroque
Giuseppe Tartini,Giuseppe Tartini,1692,1770,,Baroque
Unico Wilhelm van Wassenaer,Unico Wilhelm van Wassenaer,1692,1766,,Baroque
Louis Lemaire,Louis Lemaire,1693?,1750?,,Baroque
Laurent Belissen,Laurent Belissen,1693,1762,,Baroque
Šimon Brixi,Šimon Brixi,1693,1735,,Baroque
Pierre-Gabriel Buffardin,Pierre-Gabriel Buffardin,1693,1768,,Baroque
Gregor Werner,Gregor Joseph Werner,1693,1766,,Baroque
Louis-Claude Daquin,Louis-Claude Daquin,1694,1772,,Baroque
Johann Samuel Endler,Johann Samuel Endler,1694,1762,,Baroque
Pierre-Claude Foucquet,Pierre-Claude Foucquet,1694,1772,,Baroque
Leonardo Leo,Leonardo Leo,1694,1744,,Baroque
Antonín Reichenauer,Antonín Reichenauer,c. 1694,1730,,Baroque
Johan Helmich Roman,Johan Helmich Roman,1694,1758,,Baroque
Luigi Merci,Luigi Merci,c.1695,1750,,Baroque
Johann Lorenz Bach,Johann Lorenz Bach,1695,1773,,Baroque
Pietro Locatelli,Pietro Locatelli,1695,1764,,Baroque
Marie-Anne-Catherine Quinault,Marie-Anne-Catherine Quinault,1695,1791,,Baroque
Giuseppe Sammartini,Giuseppe Sammartini,1695,1750,,Baroque
Ernst Gottlieb Baron,Ernst Gottlieb Baron,1696,1760,,Baroque
Pierre Février,Pierre Février,1696,1760,,Baroque
Maurice Greene (composer),Maurice Greene,1696,1755,,Baroque
Johann Melchior Molter,Johann Melchior Molter,1696,1765,,Baroque
Johann Caspar Vogler,Johann Caspar Vogler,1696,1763,,Baroque
Andrea Zani,Andrea Zani,1696,1757,,Baroque
Esprit Antoine Blanchard,Esprit-Antoine Blanchard,1696,1770,,Baroque
Josse Boutmy,Josse Boutmy,1697,1779,,Baroque
Cornelius Heinrich Dretzel,Cornelius Heinrich Dretzel,1697,1775,,Baroque
Louis-Maurice de La Pierre,Louis-Maurice de La Pierre,1697,1753,,Baroque
Adam Falckenhagen,Adam Falckenhagen,1697,1754,,Baroque
Johann Christian Hertel,Johann Christian Hertel,1697/1699,1754,,Baroque
Jean-Marie Leclair,Jean-Marie Leclair,1697,1764,,Baroque
Giuseppe de Majo,Giuseppe de Majo,1697,1771,,Baroque
Giovanni Benedetto Platti,Giovanni Benedetto Platti,1697,1763,,Baroque
Johann Pfeiffer,Johann Pfeiffer,1697,1761,,Baroque
Johann Joachim Quantz,Johann Joachim Quantz,1697,1773,,Baroque
Francesco Antonio Vallotti,Francesco Antonio Vallotti,1697,1780,,Baroque
Pietro Auletta,Pietro Auletta,c. 1698,1771,,Baroque
Antonio Bioni,Antonio Bioni,1698,1739,,Baroque
Henry Madin,Henry Madin,1698,1748,,Baroque
Riccardo Broschi,Riccardo Broschi,c. 1698,1756,,Baroque
François Francoeur,François Francoeur,1698,1787,,Baroque
František Jiránek,František Jiránek,1698,1778,,Baroque
Nicola Logroscino,Nicola Bonifacio Logroscino,1698,c. 1764,,Baroque
Gaetano Maria Schiassi,Gaetano Maria Schiassi,1698,1754,,Baroque
Jean-Baptiste Forqueray,Jean-Baptiste Forqueray,1699,1782,,Baroque
Joseph Gibbs (composer),Joseph Gibbs,1699,1788,,Baroque
Johann Adolph Hasse,Johann Adolph Hasse,1699,1783,,Baroque
Juan Francés de Iribarren,Juan Francés de Iribarren,1699,1767,,Baroque
Jan Zach,Jan Zach,1699,1773,,Baroque
Jean-Baptiste Dutartre,Jean-Baptiste Dutartre,16..,1749,,Baroque
Ignazio Pollice,Ignazio Pollice,,,1684–1705,Baroque
John Baston,John Baston,,,1708–1739,Baroque
Charles Bâton,Charles Bâton,,,1733–1758,Baroque
Domenico Della Bella,Domenico Della Bella,,,c. 1700–1715,Baroque
Michielina della Pietà,Michielina Della Pietà,,,c. 1701–1744,Baroque
Charles Dollé,Charles Dollé,,after 1755,1735–1755,Baroque
Giovanni Giorgi (composer),Giovanni Giorgi,,1762,from 1719,Baroque
Caterina Benedicta Grazianini,Caterina Benedicta Grazianini,17th century,,from 1705,Baroque
Maria Margherita Grimani,Maria Margherita Grimani,before 1700,,1713–1718,Baroque
Benoit Guillemant,Benoit Guillemant,,,1746–1757,Baroque
Gottfried Lindemann,Gottfried Lindemann,,1741,1713–1741,Baroque
Le Sieur de Machy,Le Sieur de Machy,,after 1692,,Baroque
Jacques Morel (composer),Jacques Morel,,,c. 1700–1749,Baroque
Antonio Orefice,Antonio Orefice,,,1708–1734,Baroque
Mrs Philarmonica,Mrs Philarmonica,,,1715,Baroque
Julie Pinel,Julie Pinel,,,1710–1737,Baroque
Marieta Morosina Priuli,Marieta Morosina Priuli,,,1665,Baroque
Camilla de Rossi,Camilla de Rossi,,,1707–1710,Baroque
Giovanni Zamboni,Giovanni Zamboni,later 17th century,after 1718,,Baroque
Philibert Delavigne,Philibert Delavigne,c. 1700,1750,,Baroque
Francesco Biscogli,Francesco Biscogli,after 1700,after 1750,,Baroque
Mlle Guédon de Presles,Mlle Guédon de Presles,early 18th century,1754,,Baroque
Johann Bernhard Bach (the younger),Johann Bernhard Bach (the younger),1700,1743,,Baroque
João Rodrigues Esteves,João Rodrigues Esteves,1700,1751,,Baroque
François-Lupien Grenet,François-Lupien Grenet,1700,1753,,Baroque
Jean-Baptiste Masse,Jean-Baptiste Masse,c. 1700,c. 1757,,Baroque
Sebastian Bodinus,Sebastian Bodinus,c. 1700,1759,,Baroque
Louis-Antoine Lefèbvre,Louis-Antoine Lefèbvre,1700,1763,,Baroque
Domenico Dall'Oglio,Domenico Dall'Oglio,c. 1700,1764,,Baroque
Nicola Fiorenza,Nicola Fiorenza,after 1700,1764,,Baroque
Michel Blavet,Michel Blavet,1700,1768,,Baroque
Christophe Moyreau,Christophe Moyneau,1700,1774,,Baroque
Giovanni Battista Sammartini,Giovanni Battista Sammartini,1700,1775,,Baroque
Johan Agrell,Johan Agrell,1701,1765,,Baroque
François Rebel,François Rebel,1701,1775,,Baroque
Jean-Pierre Guignon,Jean-Pierre Guignon,1702,1774,,Baroque
Alessandro Besozzi,Alessandro Besozzi,1702,1775,,Baroque
Johann Ernst Eberlin,Johann Ernst Eberlin,1702,1762,,Baroque
José de Nebra,José de Nebra,1702,1768,,Baroque
Francisco António de Almeida,Francisco António de Almeida,c. 1702,1755,,Baroque
Joseph-Hector Fiocco,Joseph-Hector Fiocco,1703,1741,,Baroque
René Drouart de Bousset,René Drouard de Bousset,1703,1760,,Baroque
John Frederick Lampe,John Frederick Lampe,1703,1751,,Baroque
Johann Gottlieb Graun,Johann Gottlieb Graun,1703,1771,,Baroque
Jean-Marie Leclair the younger,Jean-Marie Leclair,1703,1777,,Baroque
Carlo Zuccari,Carlo Zuccari,1703,1792,,Baroque
Carlos Seixas,Carlos Seixas,1704,1742,,Baroque
Rosanna Scalfi Marcello,Rosanna Scalfi Marcello,1704 or 1705,after 1742,,Baroque
Carl Heinrich Graun,Carl Heinrich Graun,1704,1759,,Baroque
Giovanni Battista Pescetti,Giovanni Battista Pescetti,c. 1704,c. 1766,,Baroque
František Tůma,František Tůma,1704,1774,,Baroque
Philippe Courbois,Philippe Courbois,1705,1730,,Baroque
Nicolas Chédeville,Nicolas Chédeville,1705,1782,,Baroque
Henri-Jacques de Croes,Henri-Jacques de Croes,1705,1786,,Baroque
Michael Christian Festing,Michael Christian Festing,1705,1752,,Baroque
Louis-Gabriel Guillemain,Louis-Gabriel Guillemain,1705,1770,,Baroque
Johann Peter Kellner,Johann Peter Kellner,1705,1772,,Baroque
Peter Prelleur,Peter Prelleur,c. 1705?,1741,,Baroque
Joseph-Nicolas-Pancrace Royer,Pancrace Royer,1705,1755,,Baroque
Andrea Bernasconi,Andrea Bernasconi,c. 1706,1784,,Baroque
Carlo Cecere,Carlo Cecere,1706,1761,,Baroque
Baldassare Galuppi,Baldassare Galuppi,1706,1785,,Baroque
Johann Gottfried Donati,Johann Gottfried Donati,1706,1782,,Baroque
William Hayes (composer),William Hayes,1706,1777,,Baroque
Giovanni Battista Martini,Giovanni Battista Martini,1706,1784,,Baroque
Jean-Baptiste Barrière,Jean Barrière,1707,1747,,Baroque
Thomas Chilcot,Thomas Chilcot,c. 1707,1766,,Baroque
Michel Corrette,Michel Corrette,1707,1795,,Baroque
Ignacio de Jerusalem,Ignacio de Jerusalem,c. 1707,1769,,Baroque
Johann Baptist Georg Neruda,Johann Baptist Georg Neruda,c. 1707,c. 1780,,Baroque
Pietro Domenico Paradisi,Domenico Paradies,1707,1791,,Baroque
António Teixeira,António Teixeira,1707,1769,,Baroque
Felix Benda,Felix Benda,1708,1768,,Baroque
Egidio Duni,Egidio Duni,1708,1775,,Baroque
Johann Gottlieb Janitsch,Johann Gottlieb Janitsch,1708,1763,,Baroque
Václav Jan Kopřiva,Václav Jan Kopřiva,1708,1789,,Baroque
Georg Reutter II,Georg Reutter,1708,1772,,Baroque
Johann Adolph Scheibe,Johann Adolph Scheibe,1708,1776,,Baroque
Francesco Araja,Francesco Araja,1709,after 1762,,Baroque
Franz Benda,Franz Benda,1709,1786,,Baroque
Princess Wilhelmine of Prussia,Princess Wilhelmine of Prussia,1709,1758,,Baroque
Christoph Schaffrath,Christoph Schaffrath,1709,1763,,Baroque
Charles Avison,Charles Avison,1709,1770,,Baroque
Domenico Alberti,Domenico Alberti,c. 1710,1740,,Baroque
André-Joseph Exaudet,André-Joseph Exaudet,1710,1762,,Baroque
Joseph Abaco,Joseph Abaco,1710,1805,,Baroque
Thomas Arne,Thomas Arne,1710,1778,,Baroque
Wilhelm Friedemann Bach,Wilhelm Friedemann Bach,1710,1784,,Baroque
Élisabeth de Haulteterre,Élisabeth de Haulteterre,,,1737–1768,Baroque
Salvatore Lanzetti,Salvatore Lanzetti,1710,1780,,Baroque
Giovanni Battista Pergolesi,Giovanni Battista Pergolesi,1710,1736,,Baroque
William Boyce (composer),William Boyce,1711,1779,,Baroque
Ignaz Holzbauer,Ignaz Holzbauer,1711,1783,,Baroque
Gaetano Latilla,Gaetano Latilla,1711,1788,,Baroque
Davide Perez,Davide Perez,1711,1778,,Baroque
Barbara of Portugal,Barbara of Portugal,1711,1758,,Baroque
Charles-Henri de Blainville,Charles-Henri de Blainville,1711,1769,,Baroque
Jean-Joseph de Mondonville,Jean-Joseph Cassanéa de Mondonville,1711,1772,,Baroque
James Oswald (composer),James Oswald,1711,1769,,Baroque
Frederick the Great,Frederick the Great,1712,1786,,Baroque
John Hebden,John Hebden,1712,1765,,Baroque
Giacomo Puccini (senior),Giacomo Puccini (senior),1712,1781,,Baroque
Jean-Jacques Rousseau,Jean-Jacques Rousseau,1712,1778,,Baroque
John Christopher Smith,John Christopher Smith,1712,1795,,Baroque
John Stanley (composer),John Stanley,1712,1786,,Baroque
Antoine Dauvergne,Antoine Dauvergne,1713,1797,,Baroque
Johan Henrik Freithoff,Johan Henrik Freithoff,1713,1767,,Baroque
Johann Ludwig Krebs,Johann Ludwig Krebs,1713,1780,,Baroque
Johann Nicolaus Mempel,Johann Nicolaus Mempel,1713,1747,,Baroque
Carl Philipp Emanuel Bach,Carl Philipp Emanuel Bach,1714,1788,,Baroque
John Alcock (organist),John Alcock,1715,1806,,Baroque
Jacques Duphly,Jacques Duphly,1715,1789,,Baroque
Josef Seger,Josef Seger,1716,1782,,Baroque
Princess Philippine Charlotte of Prussia,Princess Philippine Charlotte of Prussia,1716,1801,,Baroque
Johann Wenzel Anton Stamitz,Johann Wenzel Anton Stamitz,1717,1757,,Baroque
Richard Mudge,Richard Mudge,1718,1763,,Baroque
Abraham Caceres,Abraham Caceres,1718,1740,,Baroque
Leopold Mozart,Leopold Mozart,1719,1787,,Baroque
Joan Baptista Pla,Joan Baptista Pla i Agustí,c. 1720,1773,,Baroque
Pieter Hellendaal,Pieter Hellendaal,1721,1799,,Baroque
Matthias Vanden Gheyn,Matthias Vanden Gheyn,1721,1785,,Baroque
"Anna Amalia, Abbess of Quedlinburg","Anna Amalia, Abbess of Quedlinburg",1723,1787,,Baroque
Rafael Antonio Castellanos,Rafael Antonio Castellanos,c. 1725,1791,,Baroque
Karl Kohaut,Karl Kohaut,1726,1784,,Baroque
Pierre van Maldere,Pierre van Maldere,1729,1768,,Baroque
Antonio Soler,Antonio Soler,1729,1783,,Baroque
Capel Bond,Capel Bond,1730,1790,,Baroque
Gabriele Leone,Gabriele Leone,c. 1735,1790,,Baroque
José Joaquim dos Santos,José Joaquim dos Santos,1747?,1801,,Baroque
Alexander Maasmann,Alexander Maasmann,,,1713,Baroque
Santa della Pietà,Santa della Pietà,,after 1774,c. 1725–1750,Baroque
,Sainte-Colombe the son,1660,1720,,Baroque
,Jean-Philippe Borbollono,1696,,,Baroque
,Louis-Joseph Marchand,,c. 1743,,Baroque
,Simon Simon,c. 1735,c. 1787,,Baroque
