name,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Alfred Bergström,15 januari 1869,"Katarina (då Sankta Katarina) församling, Stockholm,",15 november 1930,Botkyrka församling,https://www.swedishmusicalheritage.com/composers/bergstrom-alfred/,false,
Carl Axel Bergström,3 februari 1864,Garpenbergs församling (Hedemora),31 oktober 1907,Hovförsamlingen (Stockholm),https://www.swedishmusicalheritage.com/composers/bergstrom-axel/,false,
Fredric Bergström,,,,,https://www.swedishmusicalheritage.com/composers/bergstrom-fredric/,false,
Johan Adolph Berndes,19 april 1761,Katarina församling (Stockholm),5 september 1826,Blommedal,https://www.swedishmusicalheritage.com/composers/berndes-j-a/,false,
August Berwald,24 August 1798,Stockholm,13 November 1869,the same city,https://www.swedishmusicalheritage.com/composers/berwald-august/,false,
Christian Friedrich Georg Berwald,14 augusti 1740,"Hohenaspe, Schleswig-Holstein (då tillhörande Danmark, nu Tyskland)",23 februari 1825,"Tyska S:ta Gertruds församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/berwald-christian-f-georg/,false,
Franz Berwald,23 July 1796,Stockholm,3 April 1868,Stockholm,https://www.swedishmusicalheritage.com/composers/berwald-franz/,true,Q217044
Hjalmar Berwald,6 november 1848,"Oed (nära Wien, Österrike)",8 maj 1930,"Adolf Fredriks församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/berwald-hjalmar/,true,Q5574604
Johan Fredrik Berwald,4 December 1787,Stockholm,26 August 1861,Stockholm,https://www.swedishmusicalheritage.com/composers/berwald-johan-fredric/,false,
Bernhard von Beskow,22 april 1796,Stockholm,17 oktober 1868,,https://www.swedishmusicalheritage.com/composers/beskow-bernhard-von/,false,
Ansgar Beste,,,,,https://www.swedishmusicalheritage.com/composers/beste-ansgar/,true,Q46991469
Johan Anders Biörck,4 mars 1789,"Katarina församling, Stockholm,",2 november 1856,"Katarina församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/biorck-johan-anders/,false,
Thomas Bjelkeborn,,,,,https://www.swedishmusicalheritage.com/composers/bjelkeborn-thomas/,false,
Nils Björkander,28 juni 1893,Stockholm,5 mars 1972,Södertälje,https://www.swedishmusicalheritage.com/composers/bjorkander-nils/,false,
Wilhelm Björkgren,15 maj 1847,,29 juni 1917,Gävle Heliga Trefaldighets församling,https://www.swedishmusicalheritage.com/composers/bjorkgren-wilhelm/,false,
Staffan Björklund,,,,,https://www.swedishmusicalheritage.com/composers/bjorklund-staffan/,false,
Gustaf Björkquist,28 september 1877,,8 mars 1968,Olaus Petri församling,https://www.swedishmusicalheritage.com/composers/bjorkqvist-gustaf/,false,
Ulf Björlin,,,,,https://www.swedishmusicalheritage.com/composers/bjorlin-ulf/,false,
Peter Bjuhr,,,,,https://www.swedishmusicalheritage.com/composers/bjuhr-peter/,false,
Björn Bjurling,,,,,https://www.swedishmusicalheritage.com/composers/bjurling-bjorn/,false,
Per Fredrik Blidberg,30 juli 1784,Tjällmo församling (Motala),10 september 1866,Klara församling,https://www.swedishmusicalheritage.com/composers/blidberg-per-fredrik/,false,
Gustaf Blix,,,,,https://www.swedishmusicalheritage.com/composers/blix-gustaf/,false,
Johan Blixt,,,,,https://www.swedishmusicalheritage.com/composers/blixt-johan/,false,
Tomas Block,,,,,https://www.swedishmusicalheritage.com/composers/block-tomas/,false,
Sven Blohm,26 July 1907,Trelleborg,15 December 1956,Stockholm,https://www.swedishmusicalheritage.com/composers/blohm-sven/,false,
Oscar Blom,26 February 1877,Sunne,19 July 1930,Stockholm,https://www.swedishmusicalheritage.com/composers/blom-oscar/,false,
Erik Blomberg,,,,,https://www.swedishmusicalheritage.com/composers/blomberg-erik/,false,
Petrus Blomberg,9 August 1841,"Spelvik, Sweden",16 January 1907,Falun,https://www.swedishmusicalheritage.com/composers/blomberg-petrus-per/,false,
Karl-Birger Blomdahl,,,,,https://www.swedishmusicalheritage.com/composers/blomdahl-karl-birger/,true,Q1208405
Tony Blomdahl,,,,,https://www.swedishmusicalheritage.com/composers/blomdahl-tony/,false,
Anders Blomqvist,,,,,https://www.swedishmusicalheritage.com/composers/blomqvist-anders/,false,
Joël Blomqvist,15 November 1840,"Stockholm,",30 October 1930,"Skärblacka, Östergötland",https://www.swedishmusicalheritage.com/composers/blomqvist-jol/,false,
Lars-Gunnar Bodin,,,,,https://www.swedishmusicalheritage.com/composers/bodin-lars-gunnar/,false,
Torsten Boheman,19 februari 1888,"Hedvig Eleonora församling, Stockholm",,,https://www.swedishmusicalheritage.com/composers/boheman-torsten/,false,
Jonas Bohlin,,,,,https://www.swedishmusicalheritage.com/composers/bohlin-jonas/,false,
Oscar Bolander,30 December 1840,Stockholm,28 November 1914,the same city,https://www.swedishmusicalheritage.com/composers/bolander-oscar/,false,
Laci Boldemann,,,,,https://www.swedishmusicalheritage.com/composers/boldemann-laci/,true,Q89216
Petter (Pehr) Boman,6 June 1804,Stockholm,17 March 1861,the same city,https://www.swedishmusicalheritage.com/composers/boman-petter-pehr/,false,
Anders Bond,22 september 1888,Leksands församling,19 september 1980,Hedemora församling,https://www.swedishmusicalheritage.com/composers/bond-anders/,false,
Jan van Boom,15 September 1807,Utrecht,19 March 1872,Stockholm,https://www.swedishmusicalheritage.com/composers/boom-jan-van/,false,
Victoria Borisova-Ollas,,,,,https://www.swedishmusicalheritage.com/composers/borisova-ollas-victoria/,true,Q4940135
Matthias Böritz,24 november 1753,"Hovförsamlingen, Stockholm, troligen",24 december 1791,"Hovförsamlingen, Stockholm, troligen",https://www.swedishmusicalheritage.com/composers/boritz-matthias-daniel/,false,
Fredrika Börjesson,17 december 1797,"Kaland (finska Kalanti), Nystad, Finland,",7 juni 1854,Veckholms församling (Enköping),https://www.swedishmusicalheritage.com/composers/borjesson-fredrika/,false,
Lars-Ove Börjesson,,,,,https://www.swedishmusicalheritage.com/composers/borjesson-lars-ove/,true,Q46871625
Daniel Börtz,,,,,https://www.swedishmusicalheritage.com/composers/bortz-daniel/,true,Q1160246
Paul Bothén,,,,,https://www.swedishmusicalheritage.com/composers/bothen-paul/,false,
Kristin Boussard,,,,,https://www.swedishmusicalheritage.com/composers/boussard-kristin/,false,
Constance Brandh,12 januari 1810,"Storkyrkoförsamlingen, Stockholm,",6 november 1901,"Katarina församling (Stockholm),",https://www.swedishmusicalheritage.com/composers/brandh-constance/,false,
Håkan Brandqvist,,,,,https://www.swedishmusicalheritage.com/composers/brandqvist-hakan/,false,
Victor Brandt,10 June 1878,Stockholm,1 February 1940,Stockholm,https://www.swedishmusicalheritage.com/composers/brandt-victor/,false,
Per Brant,,,9 August 1767,Stockholm,https://www.swedishmusicalheritage.com/composers/brant-per/,true,
Gabriel Branting,16 July 1799,"Grödinge parish, Södermanland",27 March 1881,Stockholm,https://www.swedishmusicalheritage.com/composers/branting-gabriel/,false,
Henric Bratt,15 October 1758,Rottneros (Värmland province),1 January 1821,Forshem (Västergötland province),https://www.swedishmusicalheritage.com/composers/bratt-henric/,false,
Leif Bratt,30 mars 1897,"Domkyrkoförsamlingen, Göteborg,",16 juni 1971,samma församling,https://www.swedishmusicalheritage.com/composers/bratt-leif/,false,
Carl Anton Philipp Braun,26 December 1788,Ludwigslust in the Mecklenburg region of northern Germany,11 June 1835,"Rommehed, Dalarna in Sweden",https://www.swedishmusicalheritage.com/composers/braun-carl-anton-philip/,false,
Carl Fredrik Braunstein,13 maj 1792,"Danmark, troligen",10 juni 1845,"Maria Magdalena församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/braunstein-carl-fredrik/,false,
Kristian Bredin,,,,,https://www.swedishmusicalheritage.com/composers/bredin-kristian/,false,
Niklas Breman,,,,,https://www.swedishmusicalheritage.com/composers/breman-niklas/,false,
Eduard Brendler,4 November 1800,Dresden,16 August 1831,"Stockholm, was for a short period during the 1820s the most promising composer in Stockholm’s post-Gustavian music scene",https://www.swedishmusicalheritage.com/composers/brendler-eduard/,false,
Johann Franz Brendler,,,12 juni 1807,"S:ta Eugenia Katolska församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/brendler-johann-franz/,false,
Arvid Brieand,8 augusti 1885,Lomma församling,3 oktober 1963,Värmdö församling,https://www.swedishmusicalheritage.com/composers/brieand-arvid/,false,
Gustaf Brink,24 October 1858,Stockholm,6 April 1904,Stockholm,https://www.swedishmusicalheritage.com/composers/brink-gustaf/,false,
Jonas Broberg,,,,,https://www.swedishmusicalheritage.com/composers/broberg-jonas/,false,
Natanael Broman,11 december 1887,,27 augusti 1966,"Oscars församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/broman-natanael/,false,
Sten Broman,25 mars 1902,Uppsala,29 oktober 1983,Lund,https://www.swedishmusicalheritage.com/composers/broman-sten/,true,Q1807561
Niklas Brommare,,,,,https://www.swedishmusicalheritage.com/composers/brommare-niklas/,false,
Lars Bröndum,,,,,https://www.swedishmusicalheritage.com/composers/brondum-lars/,false,
Ingeborg von Bronsart,24 August 1840,"St Petersburg, Russia,",17 June 1913,"Munich, Germany,",https://www.swedishmusicalheritage.com/composers/bronsart-von-schellendorf-ingeborg/,false,
Hanna Brooman,21 August 1809,Stockholm,7 February 1887,Stockholm,https://www.swedishmusicalheritage.com/composers/brooman-hanna/,false,
Hildur Broström,,,,,https://www.swedishmusicalheritage.com/composers/brosrom-hildur/,false,
Tobias Broström,,,,,https://www.swedishmusicalheritage.com/composers/brostrom-tobias/,false,
William Brunson,,,,,https://www.swedishmusicalheritage.com/composers/brunson-william/,false,
Gunnar Bucht,,,,,https://www.swedishmusicalheritage.com/composers/bucht-gunnar/,true,Q2785814
Erik Bünger,,,,,https://www.swedishmusicalheritage.com/composers/bunger-erik/,false,
Magnus Bunnskog,,,,,https://www.swedishmusicalheritage.com/composers/bunnskog-magnus/,false,
Britta Byström,,,,,https://www.swedishmusicalheritage.com/composers/bystrom-britta/,true,Q4941422
Oscar Byström,13 October 1821,Stockholm,22 July 1909,"Spillersboda, Frötuna",https://www.swedishmusicalheritage.com/composers/bystrom-oscar/,false,
Thomas Byström,,,2 October 1839,"Stockholm, was a military officer, pianist, violinist, music teacher and composer",https://www.swedishmusicalheritage.com/composers/bystrom-thomas/,false,
Georg Alexander Heinrich Herman Callenberg,8 februari 1744,Muskau i Sachsen,4 maj 1795,Muskau i Sachsen,https://www.swedishmusicalheritage.com/composers/callenberg-georg-alexander-herman/,false,
Carl-Olof Anderberg,,,,,https://www.swedishmusicalheritage.com/composers/carl-olof-carl-olof/,true,Q5039771
Göte Carlid,26 December 1920,Sandviken,30 June 1953,Sundbyberg,https://www.swedishmusicalheritage.com/composers/carlid-gote/,false,
Gustaf Carlman,5 March 1906,Låssa,3 June 1958,"Kristianstad, was a church musician, music teacher and composer",https://www.swedishmusicalheritage.com/composers/carlman-gustaf/,false,
Lars Carlsson,,,,,https://www.swedishmusicalheritage.com/composers/carlsson-lars/,false,
Werther Carlson (Carlsson),6 december 1885,Varnums församling (Ulricehamn),31 juli 1968,Sävedalens församling (Partille),https://www.swedishmusicalheritage.com/composers/carlsson-werther-gideon/,false,
