name,birth_date,birth_place,death_date,death_place,url
Olle Åberg,,,,,https://www.swedishmusicalheritage.com/composers/aberg-olle/
Thomas Åberg,,,,,https://www.swedishmusicalheritage.com/composers/aberg-thomas/
Giuseppe Acerbi,3 May 1773,Castel Goffredo (Mantua),25 August 1846,Castel Goffredo (Mantua),https://www.swedishmusicalheritage.com/composers/acerbi-giuseppe/
Johann Gottlieb Adam,7 mars 1746,,5 februari 1826,Tyska S:ta Gertruds församling (Stockholm),https://www.swedishmusicalheritage.com/composers/adam-johan-gottlieb/
Savannah Agger,,,,,https://www.swedishmusicalheritage.com/composers/agger-savannah/
Johan Agrell,1 February 1701,"Löth parish, Östergötland",19 January 1765,Nuremberg,https://www.swedishmusicalheritage.com/composers/agrell-johan/
Gunnar Ahlberg,,,,,https://www.swedishmusicalheritage.com/composers/ahlberg-gunnar/
Tor Ahlberg,,,,,https://www.swedishmusicalheritage.com/composers/ahlberg-tor/
Pär Ahlbom,,,,,https://www.swedishmusicalheritage.com/composers/ahlbom-par/
Waldemar Åhlén,21 juli 1894,Helgesta församling (Flen),18 december 1982,Högalids församling (Stockholm),https://www.swedishmusicalheritage.com/composers/ahlen-waldemar/
Sven Ahlin,,,,,https://www.swedishmusicalheritage.com/composers/ahlin-sven/
Carolina Åhlström,12 augusti 1782,"Maria Magdalena församling, Stockholm,",28 mars 1860,Hedvig Eleonora församling (Stockholm),https://www.swedishmusicalheritage.com/composers/ahlstrom-carolina/
Jacob Niclas Ahlström,,,14 May 1857,Stockholm,https://www.swedishmusicalheritage.com/composers/ahlstrom-jacob-niclas/
Johan Alfred Ahlström,1 January 1833,Stockholm,26 March 1910,Stockholm,https://www.swedishmusicalheritage.com/composers/ahlstrom-johan-alfred/
Olof Åhlström,14 August 1756,Vårdinge,,,https://www.swedishmusicalheritage.com/composers/ahlstrom-olof/
Oscar Ahnfelt,21 May 1813,"Gullarp, Skåne,",22 October 1882,Karlshamn,https://www.swedishmusicalheritage.com/composers/ahnfelt-oscar/
Erik Åkerberg,19 January 1860,Stockholm,20 January 1938,the same city,https://www.swedishmusicalheritage.com/composers/akerberg-erik/
Lars Åkerlund,,,,,https://www.swedishmusicalheritage.com/composers/akerlund-lars/
Jeanna Åkerman,16 December 1798,Gothenburg,27 May 1859,Dresden,https://www.swedishmusicalheritage.com/composers/akerman-jeanna/
Vincenzo Albrici,26 June 1631,Rome,8 August 1690,Prague,https://www.swedishmusicalheritage.com/composers/albrici-vincenzo/
Magnus Alexanderson,,,,,https://www.swedishmusicalheritage.com/composers/alexanderson-magnus/
Helmer Alexandersson,16 November 1886,,24 December 1927,Stockholm,https://www.swedishmusicalheritage.com/composers/alexandersson-helmer/
Linda Alexandersson,,,,,https://www.swedishmusicalheritage.com/composers/alexandersson-linda/
Hugo Alfvén,"1st May, 1872",Stockholm,"8 May, 1960","Tibble, Leksand (Dalecarlia, Sweden)",https://www.swedishmusicalheritage.com/composers/alfven-hugo/
Per-Gunnar Alldahl,,,,,https://www.swedishmusicalheritage.com/composers/alldahl-per-gunnar/
Claude Loyola Allgén,,,,,https://www.swedishmusicalheritage.com/composers/allgen-claude-loyola/
Ruth Almén,24 September 1870,"Kålltorp, Bohus County",19 November 1945,Gothenburg,https://www.swedishmusicalheritage.com/composers/almen-ruth/
Alwar Almkvisth,,,,,https://www.swedishmusicalheritage.com/composers/almkvisth-alwar/
Carl Jonas Love Almqvist,,,,,https://www.swedishmusicalheritage.com/composers/almqvist-carl-jonas-love/
Ragnar Althén,19 November 1883,"Stockholm,",14 July 1961,"Stockholm,",https://www.swedishmusicalheritage.com/composers/althen-ragnar/
Erik Alvin,6 maj 1902,Norrköping,19 juni 1992,Vänersborg,https://www.swedishmusicalheritage.com/composers/alvin-erik/
Jonas Åhman (Åman),20 november 1729,Stockholm,5 maj 1761,Stockholm,https://www.swedishmusicalheritage.com/composers/aman-jonas/
Johan Fredrik Aminoff,26 januari 1756,,30 mars 1842,,https://www.swedishmusicalheritage.com/composers/aminoff-johan-fredrik/
Anders Jobs,29 oktober 1876,Leksands församling,10 augusti 1959,Falu Kristine församling,https://www.swedishmusicalheritage.com/composers/anders-jobs/
Anton Andersen,10 October 1845,Kristiansand,9 September 1926,Stockholm,https://www.swedishmusicalheritage.com/composers/andersen-anton/
B Tommy Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-b-tommy/
Kjell Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-kjell/
Magnus F Andersson,26 juni 1953,,,,https://www.swedishmusicalheritage.com/composers/andersson-magnus-f/
Richard Andersson,22 August 1851,Stockholm,20 May 1918,,https://www.swedishmusicalheritage.com/composers/andersson-richard/
Sol Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-sol/
Tina Andersson,,,,,https://www.swedishmusicalheritage.com/composers/andersson-tina/
Elfrida Andrée,19 February 1841,Visby,11 January 1929,Gothenburg,https://www.swedishmusicalheritage.com/composers/andree-elfrida/
Manolita de Anduaga,4 August 1875,Stockholm,23 March 1968,Rome,https://www.swedishmusicalheritage.com/composers/anduaga-forssling-manolita-de/
,,,,,https://www.swedishmusicalheritage.com/composers/anonym-anonym/
Birger Anrep-Nordin,21 January 1888,Skara,25 November 1946,Gothenburg,https://www.swedishmusicalheritage.com/composers/anrep-nordin-birger/
Christopher Anthin,,,,,https://www.swedishmusicalheritage.com/composers/anthin-christopher/
Lars Johan Appelberg,27 februari 1798,Karlskrona,6 november 1845,Arboga,https://www.swedishmusicalheritage.com/composers/appelberg-lars-johan/
Ylva Q Arkvik,,,,,https://www.swedishmusicalheritage.com/composers/arkvik-ylva-q/
Fritz Arlberg,21 March 1830,"Leksand, Sweden",21 February 1896,Kristiania (Oslo),https://www.swedishmusicalheritage.com/composers/arlberg-fritz/
Robert Arnborg,,,,,https://www.swedishmusicalheritage.com/composers/arnborg-robert/
Eric Arrhén von Kapfelman,21 October 1790,Västervik,23 May 1851,Stockholm,https://www.swedishmusicalheritage.com/composers/arrhen-von-kapfelman-eric/
Per Arvidsson Bremmers,,,,,https://www.swedishmusicalheritage.com/composers/arvidsson-bremmers-per/
Peter Askergren,4 February 1767,"Sätila, Västergötland,",17 February 1818,Stockholm,https://www.swedishmusicalheritage.com/composers/askergren-peter/
Herman Asplöf,15 November 1881,Gåsborn,,,https://www.swedishmusicalheritage.com/composers/asplof-herman/
Jonas Asplund,,,,,https://www.swedishmusicalheritage.com/composers/asplund-jonas/
Wilhelm Åström,22 augusti 1840,Kristianstads garnisonsförsamling,8 april 1898,Växjö stadsförsamling,https://www.swedishmusicalheritage.com/composers/astrom-wilhelm/
Kurt Atterberg,12 december 1887,,15 februari 1974,Stockholm,https://www.swedishmusicalheritage.com/composers/atterberg-kurt/
Tor Aulin,10 September 1866,Stockholm,1 March 1914,the nearby coastal resort of Saltsjöbaden,https://www.swedishmusicalheritage.com/composers/aulin-tor/
Valborg Aulin,9 January 1860,"Gävle,",13 March 1928,,https://www.swedishmusicalheritage.com/composers/aulin-valborg/
Jonny Axelsson,,,,,https://www.swedishmusicalheritage.com/composers/axelsson-jonny/
Girilal Baars,,,,,https://www.swedishmusicalheritage.com/composers/baars-girilal/
Knut Bäck,22 April 1868,Stockholm,27 October 1953,Gothenburg,https://www.swedishmusicalheritage.com/composers/back-knut/
Sven-Eric Bäck,,,,,https://www.swedishmusicalheritage.com/composers/back-sven-eric/
Catharina Backman,,,,,https://www.swedishmusicalheritage.com/composers/backman-catharina/
Abraham Baer,26 December 1834,Filehne (then Prussia),6 March 1894,Gothenburg,https://www.swedishmusicalheritage.com/composers/baer-abraham/
Johann Bahr,,,,,https://www.swedishmusicalheritage.com/composers/bahr-johan/
Malin Bång,,,,,https://www.swedishmusicalheritage.com/composers/bang-malin/
Nils Anton Augustin Bark (Barck),27 augusti 1760,Wien,,,https://www.swedishmusicalheritage.com/composers/barck-nils-anton-augustin/
Jan Bark,,,,,https://www.swedishmusicalheritage.com/composers/bark-jan/
Carin Bartosch Edström,,,,,https://www.swedishmusicalheritage.com/composers/bartosch-edstrom-carin/
Wilhelm Bauck,13 December 1808,Gothenburg,8 October 1877,Stockholm,https://www.swedishmusicalheritage.com/composers/bauck-wilhelm/
Bror Adolf Beckman,5 February 1832,Stockholm,14 November 1911,Värnamo,https://www.swedishmusicalheritage.com/composers/beckman-bror-adolf/
Bror Beckman,10 February 1866,Kristinehamn,22 July 1929,Ljungskile,https://www.swedishmusicalheritage.com/composers/beckman-bror/
Hugo Bedinger,30 March 1876,Hudiksvall,9 November 1914,"Västerås, studied at the Royal Conservatory of Music in Stockholm",https://www.swedishmusicalheritage.com/composers/bedinger-hugo/
Bedřich Smetana,2 March 1824,the Bohemian village of Litomyšl,12 May 1884,Prague,https://www.swedishmusicalheritage.com/composers/bedrich-smetana/
Lars Magnus Béen,5 december 1820,,19 augusti 1905,Allerum (Helsingborg),https://www.swedishmusicalheritage.com/composers/been-lars-magnus/
Johann Adolph Beer,,,30 december 1864,Berlin,https://www.swedishmusicalheritage.com/composers/beer-johann-adolph/
Daniel Bell,,,,,https://www.swedishmusicalheritage.com/composers/bell-daniel/
Carl Michael Bellman,4 februari 1740,,11 februari 1795,Stockholm,https://www.swedishmusicalheritage.com/composers/bellman-carl-michael/
Peter Bengtson,,,,,https://www.swedishmusicalheritage.com/composers/bengtson-peter/
Eric Bengtson,31 July 1897,"Norra Vram, Bjuv’s parish in Skåne,",6 April 1948,Gävle,https://www.swedishmusicalheritage.com/composers/bengtsson-eric/
Gustaf Bengtsson,29 March 1886,Vadstena,5 October 1965,Linköping,https://www.swedishmusicalheritage.com/composers/bengtsson-gustaf/
Ferdinand Bengzon,5 april 1840,"Jämshögs församling (Olofström, Blekinge)",18 juli 1893,"Jakob och Johannes församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/bengzon-ferdinand/
Herman Berens d.y.,17 November 1862,Stockholm,5 July 1928,"Stockholm, was a conductor and composer",https://www.swedishmusicalheritage.com/composers/berens-herman/
Hermann Berens d.ä.,7 April 1826,Hamburg,9 May 1880,Stockholm,https://www.swedishmusicalheritage.com/composers/berens-hermann/
Alfred Berg,13 October 1857,Hudiksvall,17 April 1929,Lund,https://www.swedishmusicalheritage.com/composers/berg-alfred/
Gottfrid Berg,29 januari 1889,"Hedvig Eleonora församling, Stockholm,",4 juli 1970,Lidingö församling,https://www.swedishmusicalheritage.com/composers/berg-gottfrid/
Isak Berg,22 september 1803,Stockholm,1 december 1886,Stockholm,https://www.swedishmusicalheritage.com/composers/berg-isak-albert/
Natanael Berg,9 February 1879,Stockholm,14 October 1957,Stockholm,https://www.swedishmusicalheritage.com/composers/berg-natanael/
Simon Berggården,,,,,https://www.swedishmusicalheritage.com/composers/berggarden-simon/
J. Anders Berggrén,,,,,https://www.swedishmusicalheritage.com/composers/berggren-j-anders/
Johannes Bergmark,,,,,https://www.swedishmusicalheritage.com/composers/bergmark-johannes/
Alfred Bergström,15 januari 1869,"Katarina (då Sankta Katarina) församling, Stockholm,",15 november 1930,Botkyrka församling,https://www.swedishmusicalheritage.com/composers/bergstrom-alfred/
Carl Axel Bergström,3 februari 1864,Garpenbergs församling (Hedemora),31 oktober 1907,Hovförsamlingen (Stockholm),https://www.swedishmusicalheritage.com/composers/bergstrom-axel/
Fredric Bergström,,,,,https://www.swedishmusicalheritage.com/composers/bergstrom-fredric/
Johan Adolph Berndes,19 april 1761,Katarina församling (Stockholm),5 september 1826,Blommedal,https://www.swedishmusicalheritage.com/composers/berndes-j-a/
August Berwald,24 August 1798,Stockholm,13 November 1869,the same city,https://www.swedishmusicalheritage.com/composers/berwald-august/
Christian Friedrich Georg Berwald,14 augusti 1740,"Hohenaspe, Schleswig-Holstein (då tillhörande Danmark, nu Tyskland)",23 februari 1825,"Tyska S:ta Gertruds församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/berwald-christian-f-georg/
Franz Berwald,23 July 1796,Stockholm,3 April 1868,Stockholm,https://www.swedishmusicalheritage.com/composers/berwald-franz/
Hjalmar Berwald,6 november 1848,"Oed (nära Wien, Österrike)",8 maj 1930,"Adolf Fredriks församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/berwald-hjalmar/
Johan Fredrik Berwald,4 December 1787,Stockholm,26 August 1861,Stockholm,https://www.swedishmusicalheritage.com/composers/berwald-johan-fredric/
Bernhard von Beskow,22 april 1796,Stockholm,17 oktober 1868,,https://www.swedishmusicalheritage.com/composers/beskow-bernhard-von/
Ansgar Beste,,,,,https://www.swedishmusicalheritage.com/composers/beste-ansgar/
Johan Anders Biörck,4 mars 1789,"Katarina församling, Stockholm,",2 november 1856,"Katarina församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/biorck-johan-anders/
Thomas Bjelkeborn,,,,,https://www.swedishmusicalheritage.com/composers/bjelkeborn-thomas/
Nils Björkander,28 juni 1893,Stockholm,5 mars 1972,Södertälje,https://www.swedishmusicalheritage.com/composers/bjorkander-nils/
Wilhelm Björkgren,15 maj 1847,,29 juni 1917,Gävle Heliga Trefaldighets församling,https://www.swedishmusicalheritage.com/composers/bjorkgren-wilhelm/
Staffan Björklund,,,,,https://www.swedishmusicalheritage.com/composers/bjorklund-staffan/
Gustaf Björkquist,28 september 1877,,8 mars 1968,Olaus Petri församling,https://www.swedishmusicalheritage.com/composers/bjorkqvist-gustaf/
Ulf Björlin,,,,,https://www.swedishmusicalheritage.com/composers/bjorlin-ulf/
Peter Bjuhr,,,,,https://www.swedishmusicalheritage.com/composers/bjuhr-peter/
Björn Bjurling,,,,,https://www.swedishmusicalheritage.com/composers/bjurling-bjorn/
Per Fredrik Blidberg,30 juli 1784,Tjällmo församling (Motala),10 september 1866,Klara församling,https://www.swedishmusicalheritage.com/composers/blidberg-per-fredrik/
Gustaf Blix,,,,,https://www.swedishmusicalheritage.com/composers/blix-gustaf/
Johan Blixt,,,,,https://www.swedishmusicalheritage.com/composers/blixt-johan/
Tomas Block,,,,,https://www.swedishmusicalheritage.com/composers/block-tomas/
Sven Blohm,26 July 1907,Trelleborg,15 December 1956,Stockholm,https://www.swedishmusicalheritage.com/composers/blohm-sven/
Oscar Blom,26 February 1877,Sunne,19 July 1930,Stockholm,https://www.swedishmusicalheritage.com/composers/blom-oscar/
Erik Blomberg,,,,,https://www.swedishmusicalheritage.com/composers/blomberg-erik/
Petrus Blomberg,9 August 1841,"Spelvik, Sweden",16 January 1907,Falun,https://www.swedishmusicalheritage.com/composers/blomberg-petrus-per/
Karl-Birger Blomdahl,,,,,https://www.swedishmusicalheritage.com/composers/blomdahl-karl-birger/
Tony Blomdahl,,,,,https://www.swedishmusicalheritage.com/composers/blomdahl-tony/
Anders Blomqvist,,,,,https://www.swedishmusicalheritage.com/composers/blomqvist-anders/
Joël Blomqvist,15 November 1840,"Stockholm,",30 October 1930,"Skärblacka, Östergötland",https://www.swedishmusicalheritage.com/composers/blomqvist-jol/
Lars-Gunnar Bodin,,,,,https://www.swedishmusicalheritage.com/composers/bodin-lars-gunnar/
Torsten Boheman,19 februari 1888,"Hedvig Eleonora församling, Stockholm",,,https://www.swedishmusicalheritage.com/composers/boheman-torsten/
Jonas Bohlin,,,,,https://www.swedishmusicalheritage.com/composers/bohlin-jonas/
Oscar Bolander,30 December 1840,Stockholm,28 November 1914,the same city,https://www.swedishmusicalheritage.com/composers/bolander-oscar/
Laci Boldemann,,,,,https://www.swedishmusicalheritage.com/composers/boldemann-laci/
Petter (Pehr) Boman,6 June 1804,Stockholm,17 March 1861,the same city,https://www.swedishmusicalheritage.com/composers/boman-petter-pehr/
Anders Bond,22 september 1888,Leksands församling,19 september 1980,Hedemora församling,https://www.swedishmusicalheritage.com/composers/bond-anders/
Jan van Boom,15 September 1807,Utrecht,19 March 1872,Stockholm,https://www.swedishmusicalheritage.com/composers/boom-jan-van/
Victoria Borisova-Ollas,,,,,https://www.swedishmusicalheritage.com/composers/borisova-ollas-victoria/
Matthias Böritz,24 november 1753,"Hovförsamlingen, Stockholm, troligen",24 december 1791,"Hovförsamlingen, Stockholm, troligen",https://www.swedishmusicalheritage.com/composers/boritz-matthias-daniel/
Fredrika Börjesson,17 december 1797,"Kaland (finska Kalanti), Nystad, Finland,",7 juni 1854,Veckholms församling (Enköping),https://www.swedishmusicalheritage.com/composers/borjesson-fredrika/
Lars-Ove Börjesson,,,,,https://www.swedishmusicalheritage.com/composers/borjesson-lars-ove/
Daniel Börtz,,,,,https://www.swedishmusicalheritage.com/composers/bortz-daniel/
Paul Bothén,,,,,https://www.swedishmusicalheritage.com/composers/bothen-paul/
Kristin Boussard,,,,,https://www.swedishmusicalheritage.com/composers/boussard-kristin/
Constance Brandh,12 januari 1810,"Storkyrkoförsamlingen, Stockholm,",6 november 1901,"Katarina församling (Stockholm),",https://www.swedishmusicalheritage.com/composers/brandh-constance/
Håkan Brandqvist,,,,,https://www.swedishmusicalheritage.com/composers/brandqvist-hakan/
Victor Brandt,10 June 1878,Stockholm,1 February 1940,Stockholm,https://www.swedishmusicalheritage.com/composers/brandt-victor/
Per Brant,9 August 1767,Esterna in the region of Roslagen in 1714 and died in Stockholm,9 August 1767,Stockholm,https://www.swedishmusicalheritage.com/composers/brant-per/
Gabriel Branting,16 July 1799,"Grödinge parish, Södermanland",27 March 1881,Stockholm,https://www.swedishmusicalheritage.com/composers/branting-gabriel/
Henric Bratt,15 October 1758,Rottneros (Värmland province),1 January 1821,Forshem (Västergötland province),https://www.swedishmusicalheritage.com/composers/bratt-henric/
Leif Bratt,30 mars 1897,"Domkyrkoförsamlingen, Göteborg,",16 juni 1971,samma församling,https://www.swedishmusicalheritage.com/composers/bratt-leif/
Carl Anton Philipp Braun,26 December 1788,Ludwigslust in the Mecklenburg region of northern Germany,11 June 1835,"Rommehed, Dalarna in Sweden",https://www.swedishmusicalheritage.com/composers/braun-carl-anton-philip/
Carl Fredrik Braunstein,13 maj 1792,"Danmark, troligen",10 juni 1845,"Maria Magdalena församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/braunstein-carl-fredrik/
Kristian Bredin,,,,,https://www.swedishmusicalheritage.com/composers/bredin-kristian/
Niklas Breman,,,,,https://www.swedishmusicalheritage.com/composers/breman-niklas/
Eduard Brendler,4 November 1800,Dresden,16 August 1831,"Stockholm, was for a short period during the 1820s the most promising composer in Stockholm’s post-Gustavian music scene",https://www.swedishmusicalheritage.com/composers/brendler-eduard/
Johann Franz Brendler,,,12 juni 1807,"S:ta Eugenia Katolska församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/brendler-johann-franz/
Arvid Brieand,8 augusti 1885,Lomma församling,3 oktober 1963,Värmdö församling,https://www.swedishmusicalheritage.com/composers/brieand-arvid/
Gustaf Brink,24 October 1858,Stockholm,6 April 1904,Stockholm,https://www.swedishmusicalheritage.com/composers/brink-gustaf/
Jonas Broberg,,,,,https://www.swedishmusicalheritage.com/composers/broberg-jonas/
Natanael Broman,11 december 1887,,27 augusti 1966,"Oscars församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/broman-natanael/
Sten Broman,25 mars 1902,Uppsala,29 oktober 1983,Lund,https://www.swedishmusicalheritage.com/composers/broman-sten/
Niklas Brommare,,,,,https://www.swedishmusicalheritage.com/composers/brommare-niklas/
Lars Bröndum,,,,,https://www.swedishmusicalheritage.com/composers/brondum-lars/
Ingeborg von Bronsart,24 August 1840,"St Petersburg, Russia,",17 June 1913,"Munich, Germany,",https://www.swedishmusicalheritage.com/composers/bronsart-von-schellendorf-ingeborg/
Hanna Brooman,21 August 1809,Stockholm,7 February 1887,Stockholm,https://www.swedishmusicalheritage.com/composers/brooman-hanna/
Hildur Broström,,,,,https://www.swedishmusicalheritage.com/composers/brosrom-hildur/
Tobias Broström,,,,,https://www.swedishmusicalheritage.com/composers/brostrom-tobias/
William Brunson,,,,,https://www.swedishmusicalheritage.com/composers/brunson-william/
Gunnar Bucht,,,,,https://www.swedishmusicalheritage.com/composers/bucht-gunnar/
Erik Bünger,,,,,https://www.swedishmusicalheritage.com/composers/bunger-erik/
Magnus Bunnskog,,,,,https://www.swedishmusicalheritage.com/composers/bunnskog-magnus/
Britta Byström,,,,,https://www.swedishmusicalheritage.com/composers/bystrom-britta/
Oscar Byström,13 October 1821,Stockholm,22 July 1909,"Spillersboda, Frötuna",https://www.swedishmusicalheritage.com/composers/bystrom-oscar/
Thomas Byström,,,2 October 1839,"Stockholm, was a military officer, pianist, violinist, music teacher and composer",https://www.swedishmusicalheritage.com/composers/bystrom-thomas/
Georg Alexander Heinrich Herman Callenberg,8 februari 1744,Muskau i Sachsen,4 maj 1795,Muskau i Sachsen,https://www.swedishmusicalheritage.com/composers/callenberg-georg-alexander-herman/
Carl-Olof Anderberg,,,,,https://www.swedishmusicalheritage.com/composers/carl-olof-carl-olof/
Göte Carlid,26 December 1920,Sandviken,30 June 1953,Sundbyberg,https://www.swedishmusicalheritage.com/composers/carlid-gote/
Gustaf Carlman,5 March 1906,Låssa,3 June 1958,"Kristianstad, was a church musician, music teacher and composer",https://www.swedishmusicalheritage.com/composers/carlman-gustaf/
Lars Carlsson,,,,,https://www.swedishmusicalheritage.com/composers/carlsson-lars/
Werther Carlson (Carlsson),6 december 1885,Varnums församling (Ulricehamn),31 juli 1968,Sävedalens församling (Partille),https://www.swedishmusicalheritage.com/composers/carlsson-werther-gideon/
Jan Carlstedt,,,,,https://www.swedishmusicalheritage.com/composers/carlstedt-jan/
Anna Cederberg-Orreteg,,,,,https://www.swedishmusicalheritage.com/composers/cederberg-orreteg-anna/
André Chini,,,,,https://www.swedishmusicalheritage.com/composers/chini-andre/
Carl Christiansen,22 October 1890,Amsterdam,12 July 1947,"Stockholm, was a cellist and composer",https://www.swedishmusicalheritage.com/composers/christiansen-carl/
Gustaf Adolf Cloos,1 juli 1782,"Maria Magdalena församling, Stockholm,",28 juni 1812,Göteborgs domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/cloos-gustaf-adolf/
Gustaf Collin,24 februari 1772,Storkyrkoförsamlingen (Stockholm),30 januari 1826,samma församling,https://www.swedishmusicalheritage.com/composers/collin-gustaf/
Leo Correia De Verdier,,,,,https://www.swedishmusicalheritage.com/composers/correia-de-verdier-leo/
Johan Peter Cronhamn,7 May 1803,Östra Karup,15 June 1875,Stockholm,https://www.swedishmusicalheritage.com/composers/cronhamn-johan-peter/
Bernhard Crusell,15 October 1775,"Uusikaupunki in Finland (then part of Sweden),",28 July 1838,Stockholm,https://www.swedishmusicalheritage.com/composers/crusell-bernhard/
Joseph Czapek,19 March 1825,Prague,6 July 1915,"Ljungskile, Sweden",https://www.swedishmusicalheritage.com/composers/czapek-joseph/
Jörgen Dafgård,,,,,https://www.swedishmusicalheritage.com/composers/dafgard-jorgen/
Adrian Dahl,5 March 1864,Stockholm,10 November 1935,"Stockholm, was a Swedish pianist, composer, piano pedagogue and music critic",https://www.swedishmusicalheritage.com/composers/dahl-adrian/
Viking Dahl,8 October 1895,"Osby, Sweden",4 January 1945,Halmstad,https://www.swedishmusicalheritage.com/composers/dahl-viking/
Hans-Erik Dahlgren,,,,,https://www.swedishmusicalheritage.com/composers/dahlgren-hans-erik/
Henrik Dahlgren,,,,,https://www.swedishmusicalheritage.com/composers/dahlgren-henrik/
Palle Dahlstedt,,,,,https://www.swedishmusicalheritage.com/composers/dahlstedt-palle/
Helge Damberg,12 oktober 1885,,30 juli 1961,Härlanda församling,https://www.swedishmusicalheritage.com/composers/damberg-helge/
Sixten Damm,16 februari 1899,Särna,1 december 1977,"Ekerö församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/damm-sixten/
Isidor Dannström,15 December 1812,d,17 October 1897,was an important singer and teacher who was also a composer,https://www.swedishmusicalheritage.com/composers/dannstrom-isidor/
Eduard d’Aubert,24 October 1813,"Braunschweig, Germany",17 April 1873,Stockholm,https://www.swedishmusicalheritage.com/composers/daubert-eduard/
Reinhold de Croll,"14 November, 1673",Stockholm in 1673 (the exact date remains unknown) and baptised,29 November 1710,the same city,https://www.swedishmusicalheritage.com/composers/de-croll-reinhold/
Csaba Deák,,,,,https://www.swedishmusicalheritage.com/composers/deak-csaba/
Johannes Degen,,,,,https://www.swedishmusicalheritage.com/composers/degen-johannes/
Henrik Denerin,,,,,https://www.swedishmusicalheritage.com/composers/denerin-henrik/
Joseph Dente,23 January 1838,Stockholm,24 May 1905,,https://www.swedishmusicalheritage.com/composers/dente-joseph/
Lüdert Dijkman,,,,,https://www.swedishmusicalheritage.com/composers/dijkman-ludert/
Erik Drake,8 January 1788,,9 June 1870,,https://www.swedishmusicalheritage.com/composers/drake-erik/
Edouard Du Puy,,,3 April 1822,Stockholm,https://www.swedishmusicalheritage.com/composers/du-puy-edouard/
Anders von Düben d.y.,,,,,https://www.swedishmusicalheritage.com/composers/duben-andreas-von/
Andreas Düben d.ä.,,,,,https://www.swedishmusicalheritage.com/composers/duben-andreas/
Gustav Düben d.ä.,19 December 1690,Stockholm in 1628 or 1629 and died in Stockholm,19 December 1690,Stockholm,https://www.swedishmusicalheritage.com/composers/duben-gustav/
Peter Düben,,,,,https://www.swedishmusicalheritage.com/composers/duben-peter/
Alette (Alethe) Due,28 February 1812,"the monastery in Værne, Norway",7 May 1887,Kristiania (now Oslo),https://www.swedishmusicalheritage.com/composers/due-alette-alethe/
Agnessa Dzodtsoeva,,,,,https://www.swedishmusicalheritage.com/composers/dzodtsoeva-agnessa/
Sixten Eckerberg,,,,,https://www.swedishmusicalheritage.com/composers/eckerberg-sixten/
Fredrik Ed,,,,,https://www.swedishmusicalheritage.com/composers/ed-fredrik/
Isak Edberg,,,,,https://www.swedishmusicalheritage.com/composers/edberg-isak/
Mats Edén,,,,,https://www.swedishmusicalheritage.com/composers/eden-mats/
Lotten af Edholm,18 April 1839,Örebro,12 July 1930,Stockholm,https://www.swedishmusicalheritage.com/composers/edholm-lotten-af/
Lars Edlund,,,,,https://www.swedishmusicalheritage.com/composers/edlund-lars/
Mikael Edlund,,,,,https://www.swedishmusicalheritage.com/composers/edlund-mikael/
Joachim Nicolas Eggert,,,14 April 1813,"Kisa, Sweden",https://www.swedishmusicalheritage.com/composers/eggert-joachim-nikolas/
Per Egland,,,,,https://www.swedishmusicalheritage.com/composers/egland-per/
Carl Eilhardt,15 april 1843,,24 januari 1911,"Glauchau, Sachsen (Tyskland)",https://www.swedishmusicalheritage.com/composers/eilhardt-carl/
Fredrik Eimele,28 September 1804,"Vasa, Finland",24 January 1871,Stockholm,https://www.swedishmusicalheritage.com/composers/eimele-fredrik/
Gunnar Ek,21 juni 1900,Asarum Blekinge,21 juni 1981,Lund,https://www.swedishmusicalheritage.com/composers/ek-gunnar/
Salomon Eklin,15 augusti 1803,"Växjö sannolikt den 5 (senast den 7) mars 1756, avliden där",15 augusti 1803,"Växjö sannolikt den 5 (senast den 7) mars 1756, avliden där",https://www.swedishmusicalheritage.com/composers/eklin-salomon/
Andreas Eklöf,,,,,https://www.swedishmusicalheritage.com/composers/eklof-andreas/
Ejnar Eklöf,20 January 1886,"Fåsjöhyttan, just outside Nora,",25 July 1954,Stockholm,https://www.swedishmusicalheritage.com/composers/eklof-ejnar/
Hans Eklund,,,,,https://www.swedishmusicalheritage.com/composers/eklund-hans/
Petter Ekman,,,,,https://www.swedishmusicalheritage.com/composers/ekman-petter/
Jacob Ekström,29 May 1893,Trosa,18 June 1950,Gävle,https://www.swedishmusicalheritage.com/composers/ekstrom-jacob/
Lars Ekström,,,,,https://www.swedishmusicalheritage.com/composers/ekstrom-lars/
August Elfåker,27 July 1851,Älvsåker (a village in the province of Halland),6 November 1914,Stockholm,https://www.swedishmusicalheritage.com/composers/elfaker-august/
Leif Elggren,,,,,https://www.swedishmusicalheritage.com/composers/elggren-leif/
