name,birth_date,birth_place,death_date,death_place,url
Christian Friedrich Müller,29 December 1752,"Rheinberg, Prussia,",21 December 1827,Stockholm,https://www.swedishmusicalheritage.com/composers/muller-carl-friedrich/
Rei Munakata,,,,,https://www.swedishmusicalheritage.com/composers/munakata-rei/
Helena Munktell,24 November 1852,Grycksbo,10 September 1919,Stockholm,https://www.swedishmusicalheritage.com/composers/munktell-helena/
Paula Müntzing,17 juni 1890,"Kristiania (Oslo, Norge)",1 februari 1967,"Vasa församling, Göteborg",https://www.swedishmusicalheritage.com/composers/muntzing-paula/
Melcher Myrberg,23 december 1825,,7 maj 1917,"Klara församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/myrberg-melcher/
Daniel Eric Naezén,27 februari 1752,,1 december 1808,Umeå stadsförsamling,https://www.swedishmusicalheritage.com/composers/naezen-daniel-eric/
Johan Jakob Nagel,18 June 1807,Moravia,7 July 1885,Stockholm,https://www.swedishmusicalheritage.com/composers/nagel-johan-jacob/
Ray Næssén,,,,,https://www.swedishmusicalheritage.com/composers/nassen-ray/
Johann Gottlieb Naumann,17 April 1741,Blasewitz near Dresden,23 October 1801,"Dresden, was, in his capacity as chief conductor of the royal court orchestra and composer, a dominant force on the city’s music scene at the end of the 18 th century",https://www.swedishmusicalheritage.com/composers/naumann-johann-gottlieb/
Siegfried Naumann,,,,,https://www.swedishmusicalheritage.com/composers/naumann-siegfried/
Annelie Nederberg,,,,,https://www.swedishmusicalheritage.com/composers/nederberg-annelie/
Daniel Nelson,,,,,https://www.swedishmusicalheritage.com/composers/nelson-daniel/
Laura Netzel,1 March 1839,Rantasalmi,10 February 1927,Stockholm,https://www.swedishmusicalheritage.com/composers/netzel-laura/
Jesper Nielsen,,,,,https://www.swedishmusicalheritage.com/composers/nielsen-jesper/
Alexandra Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-alexandra/
Anders Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-anders/
Bo Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-bo/
Ivo Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-ivo/
Christina Nilsson,20 August 1843,,22 November 1921,Växjo,https://www.swedishmusicalheritage.com/composers/nilsson-kristina/
Leo Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-leo/
Per Anders Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-per-anders/
Torbjörn Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-torbjorn/
Torsten Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/nilsson-torsten/
