name,years,has_description,composer_url
Arne Forsén,1960-,True,https://www.swedishmusicalheritage.com/composers/forsen-arne/
Anders Forslund,1978-,True,https://www.swedishmusicalheritage.com/composers/forslund-anders/
Kristina Forsman,1970-,True,https://www.swedishmusicalheritage.com/composers/forsman-kristina/
Mikael Forsman,1968-,True,https://www.swedishmusicalheritage.com/composers/forsman-mikael/
Jonas Forssell,1957-,True,https://www.swedishmusicalheritage.com/composers/forssell-jonas/
Stefan Forssén,1943-,True,https://www.swedishmusicalheritage.com/composers/forssen-stefan/
Lars-Åke Franke-Blom,1941-,True,https://www.swedishmusicalheritage.com/composers/franke-blom-lars-ake/
Cecilia Franke,1955-,True,https://www.swedishmusicalheritage.com/composers/franke-cecilia/
Olov Franzén,1946-,True,https://www.swedishmusicalheritage.com/composers/franzen-olov/
Ylva Fred,1990-,True,https://www.swedishmusicalheritage.com/composers/fred-ylva/
Lennart Fredriksson,1952-,True,https://www.swedishmusicalheritage.com/composers/fredriksson-lennart/
Otto Freudenthal,1934-2015,True,https://www.swedishmusicalheritage.com/composers/freudenthal-otto/
Pär Frid,1977-,True,https://www.swedishmusicalheritage.com/composers/frid-par/
Ruben Fridolfson,1933-1997,True,https://www.swedishmusicalheritage.com/composers/fridolfsson-ruben/
Robert Fröman,1948-,True,https://www.swedishmusicalheritage.com/composers/froman-robert/
Zoltán Gaál,1934-,True,https://www.swedishmusicalheritage.com/composers/gaal-zoltan/
Göran Gamstorp,1957-,True,https://www.swedishmusicalheritage.com/composers/gamstorp-goran/
Hans Gefors,1952-,True,https://www.swedishmusicalheritage.com/composers/gefors-hans/
Christian Geist,ca 1650−1711,True,https://www.swedishmusicalheritage.com/composers/geist-christian/
Werner Wolf Glaser,1913-2006,True,https://www.swedishmusicalheritage.com/composers/glaser-werner-wolf/
Mauro Godoy-Villalobos,1967-,True,https://www.swedishmusicalheritage.com/composers/godoy-villalobos-mauro/
Oleg Gotskosik,1951-,True,https://www.swedishmusicalheritage.com/composers/gotskosik-oleg/
Ulf Grahn,1942-,True,https://www.swedishmusicalheritage.com/composers/grahn-ulf/
Fredrik Gran,1977-,True,https://www.swedishmusicalheritage.com/composers/gran-fredrik/
Magnus Granberg,1974-,True,https://www.swedishmusicalheritage.com/composers/granberg-magnus/
Johnny Grandert,1939-,True,https://www.swedishmusicalheritage.com/composers/grandert-johnny/
Rosali Grankull,1984-,True,https://www.swedishmusicalheritage.com/composers/grankull-rosali/
David Granström,1987-,True,https://www.swedishmusicalheritage.com/composers/granstrom-david/
Carl August(us) Grevesmöhlen,1754-1823,True,https://www.swedishmusicalheritage.com/composers/grevesmohlen-carl-august/
Ebbe Grims-land,1915-2015,True,https://www.swedishmusicalheritage.com/composers/grims-land-ebbe/
Ragnar Grippe,1951-,True,https://www.swedishmusicalheritage.com/composers/grippe-ragnar/
Wlodek Gulgowski,1944-,True,https://www.swedishmusicalheritage.com/composers/gulgowski-wlodek/
Olof Gullberg,1931-2016,True,https://www.swedishmusicalheritage.com/composers/gullberg-olof/
Gabriella Gullin,1961-,True,https://www.swedishmusicalheritage.com/composers/gullin-gabriella/
Rosanna Gunnarsson,1992-,True,https://www.swedishmusicalheritage.com/composers/gunnarsson-rosanna/
Georg Valentin Günther,1785-1853,True,https://www.swedishmusicalheritage.com/composers/gunther-georg-valentin/
Hans Gurstad-Nilsson,1965-,True,https://www.swedishmusicalheritage.com/composers/gurstad-nilsson-hans/
Mats Gustafsson,1964-,True,https://www.swedishmusicalheritage.com/composers/gustafsson-mats/
Tuomo Haapala,1945-,True,https://www.swedishmusicalheritage.com/composers/haapala-tuomo/
Tommie Haglund,1959-,True,https://www.swedishmusicalheritage.com/composers/haglund-tommie/
Fredrik Hagstedt,1975-,True,https://www.swedishmusicalheritage.com/composers/hagstedt-fredrik/
Sven Hagvil,1953-,True,https://www.swedishmusicalheritage.com/composers/hagvil-sven/
Carl Axel Hall,1947-,True,https://www.swedishmusicalheritage.com/composers/hall-carl-axel/
Jörgen Häll,1986-,True,https://www.swedishmusicalheritage.com/composers/hall-jorgen/
Louis Hall,1814−1857,True,https://www.swedishmusicalheritage.com/composers/hall-louis/
Bengt Hallberg,1932-2013,True,https://www.swedishmusicalheritage.com/composers/hallberg-bengt/
Björn Wilho Hallberg,1938-2009,True,https://www.swedishmusicalheritage.com/composers/hallberg-bjorn-wilho/
Margareta Hallin,1931-2020,True,https://www.swedishmusicalheritage.com/composers/hallin-margareta/
Björn Hallman,1944-,True,https://www.swedishmusicalheritage.com/composers/hallman-bjorn/
Lars David Hallnäs,1950-,True,https://www.swedishmusicalheritage.com/composers/hallnas-lars-david/
Mattias Hållsten,1997-,True,https://www.swedishmusicalheritage.com/composers/hallsten-mattias/
Bengt Hambraeus,1928-2000,True,https://www.swedishmusicalheritage.com/composers/hambraeus-bengt/
Johan Hammerth,1953-,True,https://www.swedishmusicalheritage.com/composers/hammerth-johan/
Krister Hansén,1966-,True,https://www.swedishmusicalheritage.com/composers/hansen-krister/
Peter Hansen,1958-,True,https://www.swedishmusicalheritage.com/composers/hansen-peter/
Sten Hanson,1936-2013,True,https://www.swedishmusicalheritage.com/composers/hanson-sten/
Bo Hansson,1950-,True,https://www.swedishmusicalheritage.com/composers/hansson-bo/
Lars Indrek Hansson,1964-,True,https://www.swedishmusicalheritage.com/composers/hansson-lars-indrek/
Mats O Hansson,1960-,True,https://www.swedishmusicalheritage.com/composers/hansson-mats-o/
Hanna Hartman,1961-,True,https://www.swedishmusicalheritage.com/composers/hartman-hanna/
Carl Michael von Hausswolff,1956-,True,https://www.swedishmusicalheritage.com/composers/hausswolff-carl-michael-von/
Kim Hedås,1965-,True,https://www.swedishmusicalheritage.com/composers/hedas-kim/
Fredrik Hedelin,1965-,True,https://www.swedishmusicalheritage.com/composers/hedelin-fredrik/
