wikidata_id,name
Q215455,Christian Ehregott Weinlig
Q949585,Christian Frederik Emil Horneman
Q65815,Christian Theodor Weinlig
Q269812,Christina Nilsson
Q315131,Christoph Albrecht
Q123574568,Christopher Brown
Q23062227,Christopher Butterfield
Q435198,Christopher Hogwood
Q5126007,Clara Kathleen Rogers
Q17626542,Clara Mathilda Faisst
Q64617546,Clara Olivares
Q1095478,Clarence Lucas
Q19290185,Claudi Martínez i Imbert
Q151608,Claudio Abbado
Q946461,Claudio Scimone
Q78918,Clemens Krauss
Q1100116,Clemens Thieme
Q961193,Clifford Curzon
Q1103858,Cláudio Santoro
Q1103931,Clément Loret
Q215120,Cole Porter
Q47171122,Conrad Abelard Fontova i Planes
Q463920,Conrad Baden
Q37710967,Conrad Berg
Q5162484,Conrad Bernier
Q6015904,Conrad Nordqvist
Q2344070,Cornelis Helmbreecker
Q1140446,Cristofano Malvezzi
Q57696,Curt Sachs
Q24218440,Cyril Monk
Q527889,César Geoffray
Q1159037,Dan Constantinescu
Q503934,Daniel Fortea
Q1160957,Daniel Gregory Mason
Q869623,Daniel Hünten
Q682009,Daniel Roseingrave
Q105280818,Daniel Webbon
Q19601791,Daniele da Castrovillari
Q2328063,Daniël de Lange
Q124635575,Darcy Copeland
Q130388338,Darren Bloom
Q3018295,David Lewin
Q2881695,David Rakowski
Q5240519,David Tunley
Q5241081,David Wilde
Q58365185,Deirdre McKay
Q119432,Delphine von Schauroth
Q65673977,Deolus W. Husband
Q1201449,Detlev Müller-Siemens
Q454677,Diane Bish
Q5274850,Diego Xaraba
Q124415632,Diego de Grados
Q94367533,Dilorom Saĭdaminova
Q3028148,Dimitri Tchesnokov
Q317033,Dimitri Tiomkin
Q60580546,Dimitris Kamarotos
Q17402703,Dina Koston
Q539677,Dinorá de Carvalho
Q3708528,Dionisio Bellante
Q5279369,Dionys Pruckner
Q1226980,Dionysios Lavragkas
Q729101,Dionysis Savvopoulos
Q3713074,Domenico Guaccero
Q3034758,Domenico Puccini
Q588565,Domenico da Piacenza
Q993313,Domingo Brescia
Q16056863,Dominique Girod
Q11917652,Domènec Mas i Serracant
Q362764,Donald Byrd
Q98032557,Donald Pond
Q317427,Donovan
Q1246313,Dorothea von Ertmann
Q5298581,Dorothy Parke
Q105309807,Doug Niemela
Q726550,Déodat de Séverac
Q64485152,E. C.  Grassi
Q1273567,E. Robert Schmitz
Q377071,Edgar Tinel
Q55838259,Edmond Diet
Q6036803,Edmund Passy
Q50805171,Edouard Broustet
Q1287616,Edouard Silas
Q16189688,Eduard Compta i Torres
Q927626,Eduard Flipse
Q316582,Eduard Franck
Q216224,Eduard Grell
Q84246,Eduard Hanslick
Q509843,Eduard Marxsen
Q11918125,Eduard Munzinger
Q214108,Eduard Steuermann
Q54859811,Eduard Zaritsky
Q2013966,Eduardo López-Chávarri
Q953007,Eduardo Mata
Q5819473,Eduardo Morales Caso
Q11696144,Edward Bogusławski
Q5342308,Edward Clark
Q67963,Edward Dannreuther
Q23675253,Edward Kilenyi
Q5344199,Edward Loder
Q5345314,Edward Shippen Barnes
Q107649283,Edward Verheyden
Q322210,Edwin Franko Goldman
Q614454,Efrem Zimbalist
Q746182,Egberto Gismonti
Q16366655,Eldar Rustamov
Q95246342,Eleftherios Papastavrou
Q61740398,Elena Rykova
Q5359177,Eleni Lambiri
Q67311932,Elise Wiel
Q12963631,Eliseo M. Pajaro
Q969743,Elmer Diktonius
Q16334134,Elmira Nəzirova
Q12839114,Elnara Dadashova
Q5829952,Eloísa D’Herbil
Q273074,Elsa Barraine
Q447545,Elsa Respighi
Q55670249,Elzéar Fortier
Q125320188,Emiel Constant Verrees
Q29155326,Emiel Delin
Q1336074,Emil Frey
Q27824587,Emil Kühnel
Q5371349,Emil Liebling
Q155177,Emil Telmányi
Q286316,Emile Pessard
Q3588297,Emile-Robert Blanchet
Q1337261,Emilia Giuliani-Guglielmi
Q11878704,Emilio Pizzi
Q16188542,Emma Chacon i Lausaca
Q100276313,Emma-Jean Thackray
Q1338219,Emmanuel Durlet
Q1341962,Engelbert Röntgen
Q5833439,Enrique Iturriaga
Q6429875,Enrique Muñoz Rubio
Q3731078,Erasmo Bartoli
Q23926940,Ercole Gaibara
Q3731206,Ercole Pasquini
Q320230,Erhard Karkoschka
Q1351189,Eric DeLamarter
Q107338468,Eric Flesher
Q78527,Erich Kleiber
Q1353534,Erich Wolf Degner
Q214385,Erich Zeisl
Q5624380,Erik Drake
Q18214734,Erik Feller
Q35823247,Ernani Braga
Q3056973,Ernest Gagnon
Q727341,Ernest Guiraud
Q504498,"Ernest Louis, Landgrave of Hesse-Darmstadt"
Q16189778,Ernesto Consolo
Q1356734,Ernesto Drangosch
Q1356732,Ernesto Elorduy
Q15454543,Ernst Catenhusen
Q96412411,Ernst Christian Friedrich Wehrstedt
Q1288375,Ernst Christian Hesse
Q1358621,Ernst Ellberg
Q1358577,Ernst Heinrich Leopold Richter
Q79183,Ernst Pauer
Q453127,Ernst Pepping
Q64426,Ernst Richter
Q67479,Ernst Rudorff
Q20438148,Ernő Unger
