article,name,birth,death,nationality,notable_20th_century_works,comment,era
Muslim_Magomayev_(composer),Muslim Magomayev,1885,1937,Azerbaijani,"""Nargiz"" opera, ""Shah Ismayil"" opera",Magomayev was selected Honoured Arts worker of Azerbaijan SSR,20th-century classical
Rauf_Hajiyev,Rauf Hajiyev,1922,1995,Azerbaijani,"“Romeo is my neighbor”, “Don’t hide your smile”, “Mother, I’m going to marry”, “Guba-my love!”, “Sheykh Sanan”, “Sabuhi”, “Azi Aslanov”.",Awarded People's Artist of Azerbaijan title.,20th-century classical
Soltan_Hajibeyov,Soltan Hajibeyov,1919,1974,Azerbaijani,"""Gulshen"" (1950), a musical comedy ""Red rose"" (1940), two symphonies (1944, 1946), ""Karavan"" (1945) and a children's opera ""Iskander and a shepherd"" (1947).",Soltan Hajibeyov contributed greatly to the formation of national symphonic music of Azerbaijan. Awarded People's Artist of Azerbaijan title.,20th-century classical
Farhad_Badalbeyli,Farhad Badalbeyli,1947,,Azerbaijani,Sonata No 23. Sonata No 3.,"Named People's Artist of the USSR (1990), won in 1968, ex-aequo with Viktoria Postnikova, the 4th edition of Lisbon' Vianna da Motta International Music Competition.",20th-century classical
Shafiga_Akhundova,Shafiga Akhundova,1924,2013,Azerbaijani,"“Galin gayasi”, “Ev bizim, sirr bizim”",Akhundova was the first professional female author of an opera in the East and People’s Artist of Azerbaijan.,20th-century classical
Charles_Dancla,Charles Dancla,1817,1907,French,"Solo de concours no. 7, Op. 224",Romanticism,20th-century classical
Luigi_Arditi,Luigi Arditi,1822,1903,Italian,,,20th-century classical
Theodor_Kirchner,Theodor Kirchner,1823,1903,German,,,20th-century classical
Carl_Reinecke,Carl Reinecke,1824,1910,German,"Trio for piano, clarinet and horn in B♭, Op. 274; String Quartet No. 5, Op. 287",Romanticism,20th-century classical
Richard_Hol,Richard Hol,1825,1904,Dutch,Organ music,Romanticism,20th-century classical
Ludwig_Minkus,Ludwig Minkus,1826,1917,Austrian,,,20th-century classical
Morten_Eskesen,Morten Eskesen,1826,1913,Danish,,,20th-century classical
François-Auguste_Gevaert,François-Auguste Gevaert,1828,1908,Belgian,,Romanticism,20th-century classical
Clémence_de_Grandval,Clémence de Grandval,1828,1907,French,,,20th-century classical
James_Cutler_Dunn_Parker,James Cutler Dunn Parker,1828,1916,American,,Romanticism,20th-century classical
Jacques_Blumenthal,Jacques Blumenthal,1829,1908,German,,Romanticism,20th-century classical
Karl_Goldmark,Karl Goldmark,1830,1915,Hungarian,Ein Wintermärchen; Aus Jugendtagen,,20th-century classical
Karl_Klindworth,Karl Klindworth,1830,1916,German,,,20th-century classical
Hans_Bronsart_von_Schellendorff,Hans Bronsart von Schellendorff,1830,1913,German,,,20th-century classical
Jan_Gerard_Palm,Jan Gerard Palm,1831,1906,Dutch Antillean,,,20th-century classical
