name,wikidata_id,description,wikipedia_en
Charles Herbert Kitson,Q5078996,British musician,https://en.wikipedia.org/wiki/Charles_Herbert_Kitson
Charles Louis Maucourt,Q27995018,,
Charles Seeger,Q1066045,American musicologist (1886–1979),https://en.wikipedia.org/wiki/Charles_Seeger
Charlotte de Rothschild,Q5086211,French painter (1825-1899),https://en.wikipedia.org/wiki/Charlotte_de_Rothschild
Chen Gexin,Q5090768,Chinese musician (1914–1961),https://en.wikipedia.org/wiki/Chen_Gexin
Chris Brubeck,Q5106012,American musician,https://en.wikipedia.org/wiki/Chris_Brubeck
Chris McGregor,Q241496,South African musician,https://en.wikipedia.org/wiki/Chris_McGregor
Christian Henrik Glass,Q5109695,Danish musician,https://en.wikipedia.org/wiki/Christian_Henrik_Glass
Christian Schiefferdecker,Q134496073,,
Christina Nilsson,Q269812,Swedish operatic soprano (1843-1921),https://en.wikipedia.org/wiki/Christina_Nilsson
Christoph Raupach,Q19918353,,
Christopher Cerrone,Q19956843,,https://en.wikipedia.org/wiki/Christopher_Cerrone
Christopher Hogwood,Q435198,"English conductor, harpsichordist and musicologist (1941–2014)",https://en.wikipedia.org/wiki/Christopher_Hogwood
Christopher Tin,Q1087016,,https://en.wikipedia.org/wiki/Christopher_Tin
Claudio Abbado,Q151608,Italian conductor (1933–2014),https://en.wikipedia.org/wiki/Claudio_Abbado
Claudio Scimone,Q946461,Italian conductor (1934-2018),https://en.wikipedia.org/wiki/Claudio_Scimone
Clemens Krauss,Q78918,Austrian conductor and opera impresario (1893 - 1954),https://en.wikipedia.org/wiki/Clemens_Krauss
Clifford Curzon,Q961193,British musician (1907-1982),https://en.wikipedia.org/wiki/Clifford_Curzon
Conrad Abelard Fontova i Planes,Q47171122,Catalan pianist,
Conrad Baden,Q463920,Norwegian musician (1908-1989),https://en.wikipedia.org/wiki/Conrad_Baden
Conrad Bernier,Q5162484,Canadian musician,https://en.wikipedia.org/wiki/Conrad_Bernier
Conrad Nordqvist,Q6015904,Swedish conductor and musicologist,
Cristoforo Besozzi,Q5186476,Oboist and bassoonist,https://en.wikipedia.org/wiki/Cristoforo_Besozzi
Curt Sachs,Q57696,German musicologist (1881–1959),https://en.wikipedia.org/wiki/Curt_Sachs
Cyril Monk,Q24218440,(1882-1970) violinist,https://en.wikipedia.org/wiki/Cyril_Monk
D. J. Sparr,Q5203668,,https://en.wikipedia.org/wiki/D._J._Sparr
Dani Howard,Q58323066,,https://en.wikipedia.org/wiki/Dani_Howard
Daniel Doura,Q112675204,,https://en.wikipedia.org/wiki/Daniel_Doura
Daniel Hünten,Q869623,German musician (1760-1823),https://en.wikipedia.org/wiki/Daniel_Hünten
Daniel Kidane,Q105094067,,https://en.wikipedia.org/wiki/Daniel_Kidane
Daniel Piazzolla,Q55466598,,
Daniel Wohl,Q16221248,,https://en.wikipedia.org/wiki/Daniel_Wohl
Daníel Bjarnason,Q16199448,,https://en.wikipedia.org/wiki/Daníel_Bjarnason
Darius Brubeck,Q470227,American musician,https://en.wikipedia.org/wiki/Darius_Brubeck
David Pentecost,Q105161445,,https://en.wikipedia.org/wiki/David_Pentecost
David Tunley,Q5240519,Australian musicologist,https://en.wikipedia.org/wiki/David_Tunley
Deborah Holland,Q5248267,American musician,https://en.wikipedia.org/wiki/Deborah_Holland
Diana Ringo,Q110259959,,https://en.wikipedia.org/wiki/Diana_Ringo
Dinorá de Carvalho,Q539677,Brazilian musician,https://en.wikipedia.org/wiki/Dinorá_de_Carvalho
Dionys Pruckner,Q5279369,German pianist and music teacher (1834-1896),https://en.wikipedia.org/wiki/Dionys_Pruckner
Dionysis Savvopoulos,Q729101,Greek singer-songwriter (1944–2025),https://en.wikipedia.org/wiki/Dionysis_Savvopoulos
Dirk Janszoon Sweelinck,Q2528086,,
Diva Zappa,Q2319135,American artist and actress,https://en.wikipedia.org/wiki/Diva_Zappa
Domenico da Piacenza,Q588565,dancer,https://en.wikipedia.org/wiki/Domenico_da_Piacenza
Domenico Guami,Q120969703,,
Domenico Tritto,Q20890544,,
Donald Byrd,Q362764,American recording artist; jazz and rhythm & blues trumpeter and vocalist (1932–2013),https://en.wikipedia.org/wiki/Donald_Byrd
Donovan,Q317427,Scottish musician (born 1946),https://en.wikipedia.org/wiki/Donovan
Dorothea von Ertmann,Q1246313,German pianist,https://en.wikipedia.org/wiki/Dorothea_von_Ertmann
Dorothy Chang,Q63191323,,https://en.wikipedia.org/wiki/Dorothy_Chang
Du Yun,Q17385858,,https://en.wikipedia.org/wiki/Du_Yun
Dweezil Zappa,Q127548,American rock guitarist and actor,https://en.wikipedia.org/wiki/Dweezil_Zappa
E. Robert Schmitz,Q1273567,"Franco-American pianist, teacher, writer, and organizer (1889–1949)",https://en.wikipedia.org/wiki/E._Robert_Schmitz
Edmond Diet,Q55838259,,
Edmund Passy,Q6036803,Swedish musician and organist,
Eduard Conus,Q4232052,Russian pianist (1827-1902),
Eduard Flipse,Q927626,Dutch conductor (1896–1973),https://en.wikipedia.org/wiki/Eduard_Flipse
Eduard Hanslick,Q84246,Austrian musician and musicologist (1825–1904),https://en.wikipedia.org/wiki/Eduard_Hanslick
Eduard Marxsen,Q509843,German musician (1806–1887),https://en.wikipedia.org/wiki/Eduard_Marxsen
Eduard Steuermann,Q214108,American pianist of Jewish origin (1892–1964),https://en.wikipedia.org/wiki/Eduard_Steuermann
Eduard Zaritsky,Q54859811,,
Eduardo López-Chávarri,Q2013966,"Spanish conductor, musicologist and lawyer (1871–1970)",
Eduardo Mata,Q953007,Mexican musician (1942–1995),https://en.wikipedia.org/wiki/Eduardo_Mata
Edward Clark,Q5342308,English conductor,https://en.wikipedia.org/wiki/Edward_Clark_(conductor)
Edward Dannreuther,Q67963,German musician (1844–1905),https://en.wikipedia.org/wiki/Edward_Dannreuther
Edward Kilenyi,Q23675253,"American musician, teacher of George Gershwin",
Edward Shippen Barnes,Q5345314,American organist,https://en.wikipedia.org/wiki/Edward_Shippen_Barnes
Edward W. Hardy,Q51337607,,https://en.wikipedia.org/wiki/Edward_W._Hardy
Elise Wiel,Q67311932,,
Elliott Armen,Q124606116,,
Elmer Diktonius,Q969743,Finnish poet (1896-1961),https://en.wikipedia.org/wiki/Elmer_Diktonius
Elzéar Fortier,Q55670249,,
Emil Frey,Q1336074,Swiss musician (1889-1946),https://en.wikipedia.org/wiki/Emil_Frey_(composer)
Emil Kühnel,Q27824587,,
Emil Telmányi,Q155177,Hungarian violinist (1892–1988),https://en.wikipedia.org/wiki/Emil_Telmányi
Emily Howard,Q5372218,,https://en.wikipedia.org/wiki/Emily_Howard
Emma-Jean Thackray,Q100276313,"British Nu Jazz musician (trumpeter, electronics, composition, bandleader) and producer",https://en.wikipedia.org/wiki/Emma-Jean_Thackray
Engelbert Röntgen,Q1341962,German violinist and music educator (1829-1897),https://en.wikipedia.org/wiki/Engelbert_Röntgen
Engelbert Röntgen,Q22083447,Dutch cellist (1886-1958),
Enrique Muñoz Rubio,Q6429875,Spanish professor,
Erhard Karkoschka,Q320230,German musician (1923-2009),https://en.wikipedia.org/wiki/Erhard_Karkoschka
