name,wikidata_id,description,wikipedia_en
Q374570,Q374570,Spanish author (1844-1911),
Q3856087,Q3856087,Canadian singer,https://en.wikipedia.org/wiki/Micah_Barnes
Q394383,Q394383,French pianist (1922–2015),https://en.wikipedia.org/wiki/Agnelle_Bundervoët
Q3951071,Q3951071,Italian musician,
Q4169027,Q4169027,French pianist (1907–1982),https://en.wikipedia.org/wiki/Jean_Doyen
Q4171146,Q4171146,Austrian musician (1815–1875),https://en.wikipedia.org/wiki/Matthias_Durst
Q4183894,Q4183894,Russian musicologist,
Q42309175,Q42309175,,
Q4284183,Q4284183,,
Q4302123,Q4302123,"Swiss chapelmaster, organist and professor (1879-1940)",
Q43232327,Q43232327,,
Q43439895,Q43439895,,
Q4347222,Q4347222,"musician, pianist and musicographer (1844-1896)",
Q435341,Q435341,Brazilian pianist (1895-1979),https://en.wikipedia.org/wiki/Guiomar_Novaes
Q4391674,Q4391674,19th-century French tenor,https://en.wikipedia.org/wiki/Louis_Benoît_Alphonse_Révial
Q4442530,Q4442530,,
Q4453717,Q4453717,Czech pianist (1817-1882),
Q449299,Q449299,English conductor (1869–1944),https://en.wikipedia.org/wiki/Henry_Wood
Q4502867,Q4502867,Dutch musician and conductor (1853-1936),
Q4521964,Q4521964,Belgian cellist (1811–1877),
Q453138,Q453138,Polish musician (1882–1947),https://en.wikipedia.org/wiki/Bronisław_Huberman
Q4581517,Q4581517,Classical pianist (1912–1996),https://en.wikipedia.org/wiki/Robert_Levin_(Norwegian_pianist)
Q459872,Q459872,British musician (1895-1967),https://en.wikipedia.org/wiki/Harriet_Cohen
Q466811,Q466811,Italian poet (1523-1554),https://en.wikipedia.org/wiki/Gaspara_Stampa
Q4780712,Q4780712,Greek musician,https://en.wikipedia.org/wiki/Apostolos_Paraskevas
Q481555,Q481555,Dutch musician (1840-1911),https://en.wikipedia.org/wiki/Samuel_de_Lange
Q4952148,Q4952148,Swedish organist,
Q50286844,Q50286844,Australian singer-songwriter and pianist,https://en.wikipedia.org/wiki/Sarah_McKenzie
Q506097,Q506097,German classical pianist,https://en.wikipedia.org/wiki/Ludwig_Abeille
Q5271611,Q5271611,American conductor,https://en.wikipedia.org/wiki/Diane_Wittry
Q5385024,Q5385024,German musician,
Q5400941,Q5400941,American soprano and vocal coach (1880-1970),https://en.wikipedia.org/wiki/Estelle_Liebling
Q546592,Q546592,Japanese musician (1932-2016),https://en.wikipedia.org/wiki/Isao_Tomita
Q5494368,Q5494368,Finnish musician and politician,https://en.wikipedia.org/wiki/Jussi_Chydenius
Q552124,Q552124,Italian singer castrato,https://en.wikipedia.org/wiki/Girolamo_Crescentini
Q5546857,Q5546857,Swedish musician,
Q55553684,Q55553684,Romanian violinist and conductor,https://en.wikipedia.org/wiki/Cristian_Măcelaru
Q5555710,Q5555710,Finnish musicologist from Åland (1879-1969),https://en.wikipedia.org/wiki/Otto_Andersson_(musicologist)
Q55837677,Q55837677,,
Q55846089,Q55846089,,
Q55857428,Q55857428,,
Q5621446,Q5621446,Argentine musician,
Q56285512,Q56285512,Canadian musician,
Q56401848,Q56401848,,
Q56401855,Q56401855,,
Q56558724,Q56558724,Canadian drummer,
Q57090409,Q57090409,pianist from Lviv,
Q5826555,Q5826555,,
Q586116,Q586116,Russian pianist (1873–1948),https://en.wikipedia.org/wiki/Konstantin_Igumnov
Q5865887,Q5865887,,
Q5934086,Q5934086,Austrian musician (1888–1972),https://en.wikipedia.org/wiki/Hugo_Kauder
Q6006615,Q6006615,Spanish musician,
Q609940,Q609940,French singer and harpsichord,https://en.wikipedia.org/wiki/Marguerite-Louise_Couperin
Q6148577,Q6148577,,
Q64210701,Q64210701,,
Q64862,Q64862,"Associate, secretary, and early biographer of Ludwig van Beethoven (1795-1864)",https://en.wikipedia.org/wiki/Anton_Schindler
Q65720241,Q65720241,,
Q6699463,Q6699463,Polish musician (1807-1855),https://en.wikipedia.org/wiki/Ludwika_Jędrzejewicz
Q6795259,Q6795259,German musician,https://en.wikipedia.org/wiki/Max_Spicker
Q695725,Q695725,Austrian musician (1830–1852),https://en.wikipedia.org/wiki/Georg_Hellmesberger_Jr.
Q705278,Q705278,French musician,https://en.wikipedia.org/wiki/Olivier_Latry
Q707845,Q707845,"Czech violinist, violist and conductor (1929–2011)",https://en.wikipedia.org/wiki/Josef_Suk_(violinist)
Q71738324,Q71738324,Dutch musician (1836-1913),
Q71738388,Q71738388,Dutch musician (1863-1948),
Q73272643,Q73272643,,
Q74653933,Q74653933,,
Q748538,Q748538,Swedish-American music producer and film producer,https://en.wikipedia.org/wiki/Quincy_Jones_III
Q786265,Q786265,French conductor (1840–1905),https://en.wikipedia.org/wiki/Jules_Danbé
Q78902,Q78902,Austrian musician (1863-1940),https://en.wikipedia.org/wiki/Ferdinand_Hellmesberger
Q7925898,Q7925898,Canadian musician (1924–2020),https://en.wikipedia.org/wiki/Victor_Feldbrill
Q7934394,Q7934394,pianist (1869–1941),https://en.wikipedia.org/wiki/Virginia_Mariani_Campolieti
Q809000,Q809000,American drummer,https://en.wikipedia.org/wiki/Barry_Altschul
Q817200,Q817200,Swedish trumpeter (1926-2015),https://en.wikipedia.org/wiki/Bengt-Arne_Wallin
Q881426,Q881426,German musician (1863–1943),https://en.wikipedia.org/wiki/Wilhelm_Middelschulte
Q896150,Q896150,German conductor (1903-1982),https://en.wikipedia.org/wiki/Erhard_Mauersberger
Q89800,Q89800,German musician (1846-1918),https://en.wikipedia.org/wiki/Henry_Schradieck
Q91221100,Q91221100,,
Q9335726,Q9335726,Polish musicologist,
Q94579457,Q94579457,Greek musician,
Q98875,Q98875,organ builder (1791–1870),https://en.wikipedia.org/wiki/Johann_Gottlob_Töpfer
Q98951482,Q98951482,(1855-1944),
Ramón Carnicer,Q1350076,Spanish musician (1789-1855),https://en.wikipedia.org/wiki/Ramón_Carnicer
Raquel García-Tomás,Q27975002,,https://en.wikipedia.org/wiki/Raquel_García-Tomás
Raymond Torres-Santos,Q7299190,,https://en.wikipedia.org/wiki/Raymond_Torres-Santos
Regina Berkovits,Q29347568,10 Sep 1887 -,
Richard Brind,Q7324338,English musician,https://en.wikipedia.org/wiki/Richard_Brind
Richard Buhlig,Q7324433,American musician (1880–1952),https://en.wikipedia.org/wiki/Richard_Buhlig
Richard Toop,Q4465571,British-Australian musicologist (1945-2017),https://en.wikipedia.org/wiki/Richard_Toop
Robert Kapilow,Q7346261,American conductor,https://en.wikipedia.org/wiki/Rob_Kapilow
Robert Sherlaw Johnson,Q7349753,British musician and scholar (1932-2000),https://en.wikipedia.org/wiki/Robert_Sherlaw_Johnson
Robert Teichmüller,Q75451,German pianist (1863–1939),https://en.wikipedia.org/wiki/Robert_Teichmüller
Robert-Alexander Bohnke,Q121660,German musician and music educator (1927-2004),
Robin Mallapert,Q194007,French musician,https://en.wikipedia.org/wiki/Robin_Mallapert
Roger Henrichsen,Q7358333,Danish musician (1876-1926),https://en.wikipedia.org/wiki/Roger_Henrichsen
Romain Didier,Q3440632,French singer,
Royden Barrie,Q19600352,British writer and poet,https://en.wikipedia.org/wiki/Royden_Barrie
Roza Tamarkina,Q949673,Soviet pianist (1920-1950),https://en.wikipedia.org/wiki/Rosa_Tamarkina
Rudi Tas,Q7376967,,https://en.wikipedia.org/wiki/Rudi_Tas
Rudolf Bella,Q2172407,(1890-1973),
Rudolf Dittrich,Q321954,Austrian musician (1861-1919),https://en.wikipedia.org/wiki/Rudolf_Dittrich
Rudolf Firkušný,Q2142506,Czech pianist (1912–1994),https://en.wikipedia.org/wiki/Rudolf_Firkušný
Sahba Aminikia,Q7399555,,https://en.wikipedia.org/wiki/Sahba_Aminikia
Sami Shawa,Q3470790,Syrian musician,https://en.wikipedia.org/wiki/Sami_Shawa
Sammy Timberg,Q7409844,American musician,https://en.wikipedia.org/wiki/Sammy_Timberg
Samuel Liégeon,Q117405046,French organist,
Sandra Drouker,Q2220978,Russian musician (1876–1944),https://en.wikipedia.org/wiki/Sandra_Droucker
Santiago Riera,Q48963838,Spanish musician,
Santino Garsi da Parma,Q3949447,Italian musician,https://en.wikipedia.org/wiki/Santino_Garsi_da_Parma
Sara Wennerberg-Reuter,Q4990297,Swedish musician,https://en.wikipedia.org/wiki/Sara_Wennerberg-Reuter
Sarah Kirkland Snider,Q7422490,,https://en.wikipedia.org/wiki/Sarah_Kirkland_Snider
Scipione della Palla,Q91473139,Italian musician of the Renaissance,
Scott Fields,Q2260860,American musician,https://en.wikipedia.org/wiki/Scott_Fields
Sebastian Bach Mills,Q7442363,American musician (1839-1898),https://en.wikipedia.org/wiki/Sebastian_Bach_Mills
Sebastian Westcott,Q7442551,English organist and stager of dramas,https://en.wikipedia.org/wiki/Sebastian_Westcott
Selim Segerstam,Q11892895,Finnish choir director,https://en.wikipedia.org/wiki/Selim_Segerstam
Semyon Viktorovich Panchenko,Q27732062,,
Serge Conus,Q2272649,Russian musician (1902–1988),https://en.wikipedia.org/wiki/Serge_Conus
Sergey Pavlovich Dobrovolsky,Q108453669,,
Sergio Cervetti,Q6125380,,https://en.wikipedia.org/wiki/Sergio_Cervetti
Sergio Ortega,Q210532,Chilean musician (1938–2003),https://en.wikipedia.org/wiki/Sergio_Ortega_(composer)
Sergiu Celibidache,Q165671,Romanian conductor (1912–1996),https://en.wikipedia.org/wiki/Sergiu_Celibidache
shtvan Ferentsovich Marton,Q12121568,,
Siegfried Wilhelm Dehn,Q62376,German musicologist (1799–1858),https://en.wikipedia.org/wiki/Siegfried_Dehn
Sigismund Päminger,Q55875077,1539-1571; Komponist protestant. Motetten; Compositeur. - Fils de Leonhard Paminger (1495-1567); Bearb.; Beitr. im VD-16,
Sophie Menter,Q66818,German musician (1846–1918),https://en.wikipedia.org/wiki/Sophie_Menter
Sophonias Päminger,Q55133198,,
Stepan Demuryan,Q16400117,,
Steve Elcock,Q83737480,,https://en.wikipedia.org/wiki/Steve_Elcock
Sydney Guillaume,Q18921821,,https://en.wikipedia.org/wiki/Sydney_Guillaume
Sérgio Dias,Q5621407,Brazilian musician,https://en.wikipedia.org/wiki/Sérgio_Dias
Tadeusz Szeligowski,Q964782,Polish musician (1896–1963),https://en.wikipedia.org/wiki/Tadeusz_Szeligowski
Tarmo Peltokoski,Q111983376,Finnish conductor and pianist,https://en.wikipedia.org/wiki/Tarmo_Peltokoski
Tarmo Peltokoski,Q111983376,,https://en.wikipedia.org/wiki/Tarmo_Peltokoski
Tauno Hannikainen,Q2916885,Finnish conductor,https://en.wikipedia.org/wiki/Tauno_Hannikainen
Ted Hearne,Q20011470,,https://en.wikipedia.org/wiki/Ted_Hearne
Telesforo Righi,Q66088158,,
"Teodósio, Prince of Brazil",Q2574511,Portuguese prince (1634-1653),"https://en.wikipedia.org/wiki/Teodósio,_Prince_of_Brazil"
Theodor Amadeus Müller,Q16853824,German musician,https://en.wikipedia.org/wiki/Theodor_Amadeus_Müller
Theodor Blumer,Q94822351,,
Theodor Kullak,Q706082,German musician (1818-1882),https://en.wikipedia.org/wiki/Theodor_Kullak
Theodor W. Adorno,Q152388,"German philosopher, sociologist and theorist (1903–1969)",https://en.wikipedia.org/wiki/Theodor_W._Adorno
Therese Kling,Q67292410,,
Thomas Hell,Q97486175,German pianist and university professor,
Thomas Kientz,Q122909341,French organist,
Thomas Whitney Surette,Q20006658,US writer and lecturer,https://en.wikipedia.org/wiki/Thomas_Whitney_Surette
Timothy Sullivan,Q2435329,,https://en.wikipedia.org/wiki/Timothy_Sullivan_(composer)
Tofig Guliyev,Q2399466,Azerbaijani musician (1917–2000),https://en.wikipedia.org/wiki/Tofig_Guliyev
Toke Lund Christiansen,Q5965469,Danish flutist,
Tor Ahlberg,Q5543868,Swedish musician,
Trygve Madsen,Q3467545,Norwegian classical pianist,https://en.wikipedia.org/wiki/Trygve_Madsen
Valentin Höller,Q94915460,,
Valerio Guami,Q110224545,1587 - 1649,
Vera Petrovna Gerchik,Q56310080,,
Verena Wagner Lafferentz,Q5391363,Daughter of Siegfried Wagner (1920-2019),https://en.wikipedia.org/wiki/Verena_Wagner_Lafferentz
Vicente Emilio Sojo,Q2521948,Venezuelan musician (1887–1974),https://en.wikipedia.org/wiki/Vicente_Emilio_Sojo
Victor Smolski,Q612757,Belarusian guitarist based in Germany,https://en.wikipedia.org/wiki/Victor_Smolski
Victor von Herzfeld,Q4497382,Hungarian musician (1856-1919),https://en.wikipedia.org/wiki/Victor_von_Herzfeld
Vilém Steinman,Q95390731,,
Vincent Lübeck,Q63565427,,
Vincenzo Guami,Q120969740,,
Vincenzo Manfredini,Q928954,Italian musician (1737–1799),https://en.wikipedia.org/wiki/Vincenzo_Manfredini
Vincenzo Scaramuzza,Q1981354,Italian-Argentine pianist,https://en.wikipedia.org/wiki/Vincenzo_Scaramuzza
Vito Frazzi,Q2528697,Italian musician (1888–1975),https://en.wikipedia.org/wiki/Vito_Frazzi
Vito Palumbo,Q24668541,,https://en.wikipedia.org/wiki/Vito_Palumbo
Vyacheslav Nagovitsin,Q7943823,,https://en.wikipedia.org/wiki/Vyacheslav_Nagovitsin
Walter Gieseking,Q61028,German pianist (1895–1956),https://en.wikipedia.org/wiki/Walter_Gieseking
Walter Morse Rummel,Q7965680,pianist (1887-1953),https://en.wikipedia.org/wiki/Walter_Morse_Rummel
Wesley LaViolette,Q738316,American musician (1894–1978),https://en.wikipedia.org/wiki/Wesley_LaViolette
Whitney Eugene Thayer,Q329655,American musician (1838–1889),https://en.wikipedia.org/wiki/Whitney_Eugene_Thayer
Wieland Wagner,Q60465,German opera director (1917–1966),https://en.wikipedia.org/wiki/Wieland_Wagner
Wilhelm Backhaus,Q60256,German pianist (1884–1969),https://en.wikipedia.org/wiki/Wilhelm_Backhaus
Wilhelm Fitzenhagen,Q4485111,German musician (1848-1890),https://en.wikipedia.org/wiki/Wilhelm_Fitzenhagen
Wilhelm Friedrich Wieprecht,Q72483,German conductor (1802–1872),https://en.wikipedia.org/wiki/Wilhelm_Friedrich_Wieprecht
Wilhelm Hanser,Q19544736,,
Wilhelm Heintze,Q5798123,"Swedish conductor, organist and music educator (1849-1895)",https://en.wikipedia.org/wiki/Wilhelm_Heintze
Wilhelm Kuhe,Q8002219,German musician (1823–1912),https://en.wikipedia.org/wiki/Wilhelm_Kuhe
Wilhelm Müller,Q94914102,,
William Arms Fisher,Q3209532,"American historian, music editor, and writer on music (1861-1948)",https://en.wikipedia.org/wiki/William_Arms_Fisher
William Smyth Rockstro,Q16203699,British musicologist,https://en.wikipedia.org/wiki/W._S._Rockstro
"Willie ""The Lion"" Smith",Q1773956,American musician (1897–1973),"https://en.wikipedia.org/wiki/Willie_""the_Lion""_Smith"
Willy Hess,Q70128,German violinist (1859-1939),https://en.wikipedia.org/wiki/Willy_Hess_(violinist)
Witold Małcużyński,Q740641,Polish musician (1914–1977),https://en.wikipedia.org/wiki/Witold_Małcużyński
Wolfgang Reimann,Q23062569,German musician,
Wolfgang Wagner,Q60452,German stage director,https://en.wikipedia.org/wiki/Wolfgang_Wagner
Yevsevii Mandychesvky,Q701340,Austrian musician (1857-1929),https://en.wikipedia.org/wiki/Eusebius_Mandyczewski
Yves Castagnet,Q8330196,French organist,https://en.wikipedia.org/wiki/Yves_Castagnet
Yvonne Loriod,Q235500,French musician,https://en.wikipedia.org/wiki/Yvonne_Loriod
Zdeněk Nejedlý,Q169038,"Czech musicologist, writer and politician (1878–1962)",https://en.wikipedia.org/wiki/Zdeněk_Nejedlý
Émile Desportes,Q8078273,French painter (1878-1944),https://en.wikipedia.org/wiki/Émile_Desportes
Žibuoklė Martinaitytė,Q97732934,,https://en.wikipedia.org/wiki/Žibuoklė_Martinaitytė
Глушков Петро Тарасович,Q12096217,,
Коган Олександр Лазарович,Q110617067,,
Сальвадор Виньегра,Q425621,"Spanish painter, museum conservator and writer (1862–1914)",https://en.wikipedia.org/wiki/Salvador_Viniegra
Франческо Беллаци,Q124255172,,
