article,name,birth,death,nationality,notable_21_century_works,era
Andrew_Chubb,Andrew Chubb,1975,,Australian,,21st-century classical
Evan_Hause,Evan Hause,1967,,American,,21st-century classical
Larry_Hochman,Larry Hochman,1953,,American,,21st-century classical
Jeff_Hamburg,Jeff Hamburg,1956,,American,,21st-century classical
Robert_Greenberg,Robert Greenberg,1954,,American,,21st-century classical
Andrew_Cadima,Andrew Cadima,1984,,American,,21st-century classical
Erin_Gee,Erin Gee,1974,,American,,21st-century classical
Anna_Gordy_Gaye,Anna Gordy Gaye,1922,2014,American,,21st-century classical
Amber_Ferenz,Amber Ferenz,1972,,American,,21st-century classical
Lynn_Gumert,Lynn Gumert,1961,,American,,21st-century classical
Craig_First,Craig First,1960,,American,,21st-century classical
Ralph_Farris,Ralph Farris,1970,,American,,21st-century classical
Kenneth_Frazelle,Kenneth Frazelle,1955,,American,,21st-century classical
Jacob_Cooper,Jacob Cooper,1980,,American,,21st-century classical
Lars_Winther,Lars Winther,1983,,Danish,,21st-century classical
Narong_Prangcharoen,Narong Prangcharoen,1973,,Thai,,21st-century classical
C._Curtis-Smith,C. Curtis-Smith,1941,2014,American,,21st-century classical
Marko_Nešić_(born_1976),Marko Nešić,1976,,Serbian,,21st-century classical
Dušan_Radić,Dušan Radić,1929,2010,Serbian,,21st-century classical
David_Crumb,David Crumb,1962,,American,,21st-century classical
Mark_Adamo,Mark Adamo,1962,,American,,21st-century classical
Deborah_Drattell,Deborah Drattell,1956,,American,,21st-century classical
Curt_Cacioppo,Curt Cacioppo,1951,,American,,21st-century classical
Tom_Cipullo,Tom Cipullo,1956,,American,,21st-century classical
Christopher_Cook_(composer),Christopher Cook,1962,,American,,21st-century classical
Canary_Burton,Canary Burton,1942,,American,,21st-century classical
Julia_Usher,Julia Usher,1945,,English,,21st-century classical
Barbara_Woof,Barbara Woof,1958,,Australian-Dutch,,21st-century classical
Charles_L._Bestor,Charles L. Bestor,1924,2016,American,,21st-century classical
Hikari_Ōe,Hikari Ōe,1963,,Japanese,,21st-century classical
Erna_Woll,Erna Woll,1917,2005,German,,21st-century classical
Mason_Bates,Mason Bates,1977,,American,,21st-century classical
Tanya_Anisimova,Tanya Anisimova,1966,,Russian,,21st-century classical
