article,name,birth,death,nationality,notable_21_century_works,era
Mikhail_Pletnev,Mikhail Pletnev,1957,,Russian,,21st-century classical
Chañaral_Ortega-Miranda,Chañaral Ortega-Miranda,1973,,Chilean,,21st-century classical
Viviana_Guzmán,Viviana Guzmán,1982,,Chilean,,21st-century classical
Andrew_Glover_(composer),Andrew Glover,1962,,English,,21st-century classical
Silvio_Barbato,Silvio Barbato,1959,2009,Italian-Brazilian,,21st-century classical
Shai_Cohen,Shai Cohen,1968,,Israeli,,21st-century classical
Anton_Coppola,Anton Coppola,1917,2020,American,,21st-century classical
Hidayat_Inayat_Khan,Hidayat Inayat Khan,1917,2016,English,,21st-century classical
Karen_Tanaka,Karen Tanaka,1961,,Japanese,,21st-century classical
Gianluca_Cascioli,Gianluca Cascioli,1979,,Italian,,21st-century classical
Michael_Garrett_(composer),Michael Garrett,1944,,English,,21st-century classical
John_Harle,John Harle,1956,,English,,21st-century classical
Paul_Edwards_(composer),Paul Edwards,1955,,English,,21st-century classical
Helmut_Christoferus_Calabrese,Helmut Christoferus Calabrese,1957,,German,,21st-century classical
Alma_Deutscher,Alma Deutscher,2005,,English,The Sweeper of Dreams (opera); Cinderella (opera); Concerto for Violin and Orchestra in G; Piano Concerto in E-flat major,21st-century classical
Inés_Medina-Fernández,Inés Medina-Fernández,1974,,Spanish,,21st-century classical
Miguel_Gálvez-Taroncher,Miguel Gálvez-Taroncher,1974,,Spanish,,21st-century classical
Cheryl_Frances-Hoad,Cheryl Frances-Hoad,1980,,English,,21st-century classical
Paul_Carr_(composer),Paul Carr,1961,,English,,21st-century classical
James_Fei,James Fei,1974,,Taiwanese,,21st-century classical
Liu_Shueh-Shuan,Liu Shueh-Shuan,1969,,Taiwanese,,21st-century classical
Nils_Henrik_Asheim,Nils Henrik Asheim,1960,,Norwegian,,21st-century classical
Wen-Pin_Hope_Lee,Wen-Pin Hope Lee,1967,,Taiwanese,,21st-century classical
Pan_Shiji,Pan Shiji,1957,,Taiwanese,,21st-century classical
Bartosz_Chajdecki,Bartosz Chajdecki,1980,,Polish,,21st-century classical
Claudio_Constantini,Claudio Constantini,1983,,Peruvian,,21st-century classical
Rafael_Leonardo_Junchaya,Rafael Leonardo Junchaya,1965,,Peruvian,,21st-century classical
David_del_Puerto,David del Puerto,1964,,Spanish,,21st-century classical
Benet_Casablancas,Benet Casablancas,1956,,Spanish,,21st-century classical
Krzysztof_Knittel,Krzysztof Knittel,1947,,Polish,,21st-century classical
Alberto_Quintero,Alberto Quintero,1970,,Spanish,,21st-century classical
Gustavo_Díaz-Jerez,Gustavo Díaz-Jerez,1970,,Spanish,,21st-century classical
Leilei_Tian,Leilei Tian,1971,,Chinese,,21st-century classical
Graham_Newcater,Graham Newcater,1941,,South African,,21st-century classical
Francisco_Coll_García,Francisco Coll García,1985,,Spanish,,21st-century classical
Guan_Xia,Guan Xia,1957,,Chinese,,21st-century classical
Stojan_Stojkov,Stojan Stojkov,1941,,Macedonian,,21st-century classical
Dimitrije_Bužarovski,Dimitrije Bužarovski,1952,,Macedonian,,21st-century classical
John_Craton,John Craton,1953,,American,,21st-century classical
Ramón_Humet,Ramón Humet,1968,,Spanish,,21st-century classical
Wenchen_Qin,Wenchen Qin,1966,,Chinese,,21st-century classical
Michael_Ching,Michael Ching,1958,,American,,21st-century classical
Paul_Cristo,Paul Cristo,1980,,American,,21st-century classical
Kristopher_Carter,Kristopher Carter,1972,,American,,21st-century classical
Dan_Coleman_(composer),Dan Coleman,1972,,American,,21st-century classical
Richard_Carrick,Richard Carrick,1971,,American,,21st-century classical
Tom_Chiu,Tom Chiu,1971,,American,,21st-century classical
Larry_Bitensky,Larry Bitensky,1966,,American,,21st-century classical
Steven_Bryant_(composer),Steven Bryant,1972,,American,,21st-century classical
Matthew_Burtner,Matthew Burtner,1970,,American,,21st-century classical
Abbie_Betinis,Abbie Betinis,1980,,American,,21st-century classical
Daniel_Bukvich,Daniel Bukvich,1954,,American,,21st-century classical
George_C._Baker,George C. Baker,1951,,American,,21st-century classical
Lee_Bracegirdle,Lee Bracegirdle,1952,,American,,21st-century classical
James_Biery,James Biery,1956,,American,,21st-century classical
Kirsten_Broberg,Kirsten Broberg,1979,,American,,21st-century classical
Seann_Branchfield,Seann Branchfield,1984,,American,,21st-century classical
Eric_Barnum,Eric Barnum,1979,,American,,21st-century classical
Dušan_Bogdanović,Dušan Bogdanović,1955,,Serbian-born American,,21st-century classical
Dieter_Lehnhoff,Dieter Lehnhoff,1955,,Guatemalan,,21st-century classical
Henrik_Åström,Henrik Åström,1980,,Swedish,,21st-century classical
Matthew_Barnson,Matthew Barnson,1979,,American,,21st-century classical
Tore_Uppström,Tore Uppström,1937,2006,Swedish,,21st-century classical
Carl_Unander-Scharin,Carl Unander-Scharin,1964,,Swedish,,21st-century classical
Niklas_Sivelöv,Niklas Sivelöv,1968,,Swedish,,21st-century classical
Albert_Schnelzer,Albert Schnelzer,1972,,Swedish,,21st-century classical
Mats_Lidström,Mats Lidström,1959,,Swedish,,21st-century classical
Kate_Moore_(composer),Kate Moore,1979,,Australian,,21st-century classical
Larysa_Kuzmenko,Larysa Kuzmenko,1956,,Canadian,,21st-century classical
Mary_Mageau,Mary Mageau,1934,,American,,21st-century classical
Lynette_Lancini,Lynette Lancini,1970,,Australian,,21st-century classical
Régis_Campo,Régis Campo,1968,,French,,21st-century classical
Judith_Clingan,Judith Clingan,1945,,Australian,,21st-century classical
Melissa_Dunphy,Melissa Dunphy,1980,,Australian-American,,21st-century classical
Marilyn_Shrude,Marilyn Shrude,1946,,American,,21st-century classical
Jean-Michel_Defaye,Jean-Michel Defaye,1932,,French,,21st-century classical
Malcolm_Lipkin,Malcolm Lipkin,1932,2017,English,,21st-century classical
Klaus_Lang,Klaus Lang,1971,,Austrian,,21st-century classical
Robert_Wendel,Robert Wendel,1951,,American,,21st-century classical
Thomas_Wells_(composer),Thomas Wells,1945,,American,,21st-century classical
André_Werner,André Werner,1960,,German,,21st-century classical
Klaus_Bruengel,Klaus Bruengel,1949,,German,,21st-century classical
Motoyuki_Shitanda,Motoyuki Shitanda,1952,,Japanese,,21st-century classical
Oliver_Weeks,Oliver Weeks,1978,,English,,21st-century classical
Marcel_Wengler,Marcel Wengler,1946,,Luxembourgish,,21st-century classical
Wang_Ying_(composer),Wang Ying,1976,,Chinese,,21st-century classical
Lindsay_Vickery,Lindsay Vickery,1965,,Australian,,21st-century classical
José_Carlos_Amaral_Vieira,José Carlos Amaral Vieira,1952,,Brazilian,,21st-century classical
Rolf_Wallin,Rolf Wallin,1957,,Norwegian,,21st-century classical
John_Webb_(composer),John Webb,1969,,English,,21st-century classical
Nicolas_Vérin,Nicolas Vérin,1958,,French,,21st-century classical
Nicholas_Vines,Nicholas Vines,1976,,Australian,,21st-century classical
Juan_Carlos_Tolosa,Juan Carlos Tolosa,1966,,Argentine,,21st-century classical
Henry_Vega,Henry Vega,1973,,American,,21st-century classical
Wang_Jie_(composer),Wang Jie,1980,,Chinese-bornAmerican,,21st-century classical
Julian_Wagstaff,Julian Wagstaff,1970,,Scottish,,21st-century classical
Aleksandra_Vrebalov,Aleksandra Vrebalov,1970,,Serbian,,21st-century classical
Octavio_Vázquez,Octavio Vázquez,1972,,Spanish,,21st-century classical
Rudi_Spring,Rudi Spring,1962,,German,,21st-century classical
Peter_Togni,Peter Togni,1959,,Canadian,,21st-century classical
Will_Todd,Will Todd,1970,,English,,21st-century classical
Vasil_Tole,Vasil Tole,1963,,Albanian,,21st-century classical
Ushio_Torikai,Ushio Torikai,1952,,Japanese,,21st-century classical
Arshia_Samsaminia,Arshia Samsaminia,1989,,Iranian,,21st-century classical
David_Padrós,David Padrós,1942,2016,Spanish,,21st-century classical
Steen_Pade,Steen Pade,1956,,Danish,,21st-century classical
Thomas_Pasatieri,Thomas Pasatieri,1945,,American,,21st-century classical
Enno_Poppe,Enno Poppe,1969,,German,,21st-century classical
Joshua_Rosenblum,Joshua Rosenblum,1963,,American,,21st-century classical
Behzad_Ranjbaran,Behzad Ranjbaran,1955,,Persian,,21st-century classical
Anthony_Powers,Anthony Powers,1953,,British,,21st-century classical
Michel_Petrossian,Michel Petrossian,1973,,French,,21st-century classical
J._A._C._Redford,J. A. C. Redford,1953,,American,,21st-century classical
Bernard_Rands,Bernard Rands,1934,,American,,21st-century classical
Victor_Rasgado,Victor Rasgado,1959,,Mexican,,21st-century classical
Fabrizio_Paterlini,Fabrizio Paterlini,1973,,Italian,,21st-century classical
Marc_Sabat,Marc Sabat,1965,,Canadian,,21st-century classical
Dianne_Goolkasian_Rahbee,Dianne Goolkasian Rahbee,1938,,American,,21st-century classical
Kurt_Schwertsik,Kurt Schwertsik,1935,,Austrian,,21st-century classical
Manfred_Stahnke,Manfred Stahnke,1951,,German,,21st-century classical
Daniel_Giorgetti,Daniel Giorgetti,1971,,British,,21st-century classical
Laura_Schwendinger,Laura Schwendinger,1962,,American,,21st-century classical
Joey_Roukens,Joey Roukens,1982,,Dutch,,21st-century classical
Doina_Rotaru,Doina Rotaru,1951,,Romanian,,21st-century classical
Olesya_Rostovskaya,Olesya Rostovskaya,1975,,Russian,,21st-century classical
Tomi_Räisänen,Tomi Räisänen,1976,,Finnish,,21st-century classical
Füsun_Köksal,Füsun Köksal,1973,,Turkish,,21st-century classical
Carlos_Bonilla_Chávez,Carlos Bonilla Chávez,1923,2010,Ecuadorian,,21st-century classical
Jacques_Burtin,Jacques Burtin,1955,,French,,21st-century classical
Levent_Çoker,Levent Çoker,1958,,Turkish,,21st-century classical
Geoffrey_Álvarez,Geoffrey Álvarez,1961,,British/Nicaraguan,,21st-century classical
Mehmet_Okonsar,Mehmet Okonsar,1961,,Turkish-Belgian,,21st-century classical
Akin_Euba,Akin Euba,1935,,Nigerian,,21st-century classical
Ali_Darmar,Ali Darmar,1946,,Turkish,,21st-century classical
Ofer_Ben-Amots,Ofer Ben-Amots,1955,,Israeli-American,,21st-century classical
Maria_Grenfell,Maria Grenfell,1969,,Australian/New Zealand,,21st-century classical
Guðmundur_Steinn_Gunnarsson,Guðmundur Steinn Gunnarsson,1982,,Icelandic,,21st-century classical
Özkan_Manav,Özkan Manav,1967,,Turkish,,21st-century classical
Benjamin_Staern,Benjamin Staern,1978,,Swedish,,21st-century classical
S._P._Somtow,S. P. Somtow,1952,,Thai-American,"Mae Naak (opera), Ayodhya (opera), The Silent Prince (opera), Dan no Ura (opera)",21st-century classical
Dnu_Huntrakul,Dnu Huntrakul,1950,,Thai,,21st-century classical
Eoin_O'Keeffe,Eoin O'Keeffe,1979,,Irish,,21st-century classical
Michael_McGlynn,Michael McGlynn,1964,,Irish,,21st-century classical
Matthew_Hindson,Matthew Hindson,1968,,Australian,,21st-century classical
Svetozar_Sasa_Kovacevic,Svetozar Sasa Kovacevic,1950,,Serbian,,21st-century classical
Ed_Bennett,Ed Bennett,1975,,Irish,,21st-century classical
Aleksandar_Kobac,Aleksandar Kobac,1971,,Serbian,,21st-century classical
Jeffrey_Ryan,Jeffrey Ryan,1962,,Canadian,,21st-century classical
Roman_Toi,Roman Toi,1916,2018,Canadian,,21st-century classical
Sonia_Bo,Sonia Bo,1960,,Italian,,21st-century classical
Gabriella_Cecchi,Gabriella Cecchi,1944,,Italian,,21st-century classical
Desmond_Gaspar,Desmond Gaspar,1970,,Canadian,,21st-century classical
Andrew_Lockington,Andrew Lockington,1974,,Canadian,,21st-century classical
Analia_Llugdar,Analia Llugdar,1972,,Argentine,,21st-century classical
Jimmie_LeBlanc,Jimmie LeBlanc,1977,,Canadian,,21st-century classical
Larry_Goves,Larry Goves,1980,,British,,21st-century classical
Renaud_Gagneux,Renaud Gagneux,1947,2018,French,,21st-century classical
Svante_Henryson,Svante Henryson,1963,,Swedish,,21st-century classical
Michel_Herr,Michel Herr,1949,,Belgian,,21st-century classical
Julie_Giroux,Julie Giroux,1961,,American,,21st-century classical
Earl_MacDonald,Earl MacDonald,1970,,American,,21st-century classical
Jean-Yves_Malmasson,Jean-Yves Malmasson,1963,,French,,21st-century classical
Sungji_Hong,Sungji Hong,1973,,South Korean,,21st-century classical
Kim_Kuusi,Kim Kuusi,1947,,Finnish,,21st-century classical
Guillaume_Connesson,Guillaume Connesson,1970,,French,,21st-century classical
Udo_Kasemets,Udo Kasemets,1919,2014,Estonian-born Canadian,,21st-century classical
Bruno_Mantovani,Bruno Mantovani,1974,,French,,21st-century classical
David_Laganella,David Laganella,1974,,American,,21st-century classical
Louis_Karchin,Louis Karchin,1951,,American,,21st-century classical
Juan_Sebastián_Lach_Lau,Juan Sebastián Lach Lau,1970,,Mexican,,21st-century classical
Sophie_Lacaze,Sophie Lacaze,1963,,French,,21st-century classical
Eres_Holz,Eres Holz,1977,,Israeli,,21st-century classical
,Matthias Kadar,1977,,Hungarian-German,,21st-century classical
Christian_Jost,Christian Jost,1963,,German,,21st-century classical
Jens_Josef,Jens Josef,1967,,German,,21st-century classical
Toshi_Ichiyanagi,Toshi Ichiyanagi,1933,,Japanese,,21st-century classical
Orit_Wolf,Orit Wolf,1974,,Israeli,,21st-century classical
Haukur_Tómasson,Haukur Tómasson,1960,,Icelandic,,21st-century classical
Steingrimur_Rohloff,Steingrimur Rohloff,1975,,Icelandic German,,21st-century classical
Oliver_Kentish,Oliver Kentish,1954,,British,,21st-century classical
Kjartan_Ólafsson_(composer),Kjartan Ólafsson,1958,,Icelandic,,21st-century classical
Atli_Heimir_Sveinsson,Atli Heimir Sveinsson,1938,2019,Icelandic,,21st-century classical
Hafliði_Hallgrímsson,Hafliði Hallgrímsson,1941,,Icelandic,,21st-century classical
Jórunn_Viðar,Jórunn Viðar,1918,2017,Icelandic,,21st-century classical
Mindia_Khitarishvili,Mindia Khitarishvili,1973,,Georgian,,21st-century classical
Ioseb_Bardanashvili,Ioseb Bardanashvili,1948,,Georgian,,21st-century classical
Karólína_Eiríksdóttir,Karólína Eiríksdóttir,1951,,Icelandic,,21st-century classical
Nagako_Konishi,Nagako Konishi,1945,,Japanese,,21st-century classical
Somei_Satoh,Somei Satoh,1947,,Japanese,,21st-century classical
Mayako_Kubo,Mayako Kubo,1947,,Japanese,,21st-century classical
Yasuhide_Ito,Yasuhide Ito,1960,,Japanese,,21st-century classical
Makiko_Kinoshita,Makiko Kinoshita,1956,,Japanese,,21st-century classical
Patrick_Greene_(composer),Patrick Greene,1985,,American,,21st-century classical
Lucio_Gregoretti,Lucio Gregoretti,1961,,Italian,,21st-century classical
Guo_Wenjing,Guo Wenjing,1956,,Chinese,,21st-century classical
Jorge_Grundman,Jorge Grundman,1961,,Spanish,,21st-century classical
Detlev_Glanert,Detlev Glanert,1960,,German,,21st-century classical
Elliot_Goldenthal,Elliot Goldenthal,1954,,American,,21st-century classical
Jan_Ekier,Jan Ekier,1913,2014,Polish,,21st-century classical
Kasia_Glowicka,Kasia Glowicka,1977,,Polish,,21st-century classical
Rafał_Stradomski,Rafał Stradomski,1958,,Polish,,21st-century classical
Cong_Su,Cong Su,1957,,Chinese,,21st-century classical
Gordon_Stout,Gordon Stout,1952,,American,,21st-century classical
Michael_Stöckigt,Michael Stöckigt,1957,,German,,21st-century classical
Robert_Steadman,Robert Steadman,1965,,British,,21st-century classical
Marc-André_Dalbavie,Marc-André Dalbavie,1961,,French,,21st-century classical
Stéphane_Delplace,Stéphane Delplace,1953,,French,,21st-century classical
Brice_Catherin,Brice Catherin,1981,,French,,21st-century classical
Peter_Boyer,Peter Boyer,1970,,American,,21st-century classical
Maria_de_Alvear,Maria de Alvear,1960,,Spanish-German,,21st-century classical
Thüring_Bräm,Thüring Bräm,1944,,Swiss,,21st-century classical
Shih-Hui_Chen,Shih-Hui Chen,1962,,Taiwanese,,21st-century classical
Carsten_Bo_Eriksen,Carsten Bo Eriksen,1973,,Danish,,21st-century classical
Nicholas_Frances_Chase,Nicholas Frances Chase,1966,,American,,21st-century classical
René_Eespere,René Eespere,1953,,Estonian,,21st-century classical
Jörgen_Dafgård,Jörgen Dafgård,1964,,Swedish,,21st-century classical
Raven_Chacon,Raven Chacon,1977,,American,,21st-century classical
Alexandra_du_Bois,Alexandra du Bois,1981,,American,,21st-century classical
Roy_Douglas,Roy Douglas,1907,2015,British,,21st-century classical
Corey_Dargel,Corey Dargel,1977,,American,,21st-century classical
Matthias_Dahms,Matthias Dahms,1961,,German,,21st-century classical
Jason_Eckardt,Jason Eckardt,1971,,American,,21st-century classical
Kurt_Doles,Kurt Doles,1973,,American,,21st-century classical
Kui_Dong,Kui Dong,1966,,Chinese-American,,21st-century classical
Byambasuren_Sharav,Byambasuren Sharav,1952,,Mongolian,,21st-century classical
Sangidorjiin_Sansargereltekh,Sangidorjiin Sansargereltekh,1969,,Mongolian,,21st-century classical
Masayuki_Hirahara,Masayuki Hirahara,1980,,Japanese,,21st-century classical
Dirk_Brossé,Dirk Brossé,1960,,Flemish Belgian,,21st-century classical
Nélida_Béjar,Nélida Béjar,1979,,Spanish,,21st-century classical
Justinian_Tamusuza,Justinian Tamusuza,1951,,Ugandan,,21st-century classical
Jun_Nagao,Jun Nagao,1964,,Japanese,,21st-century classical
Linda_Bouchard,Linda Bouchard,1957,,Canadian,,21st-century classical
Keiko_Abe,Keiko Abe,1937,,Japanese,,21st-century classical
Michael_Abels,Michael Abels,1962,,American,,21st-century classical
Hans_Abrahamsen,Hans Abrahamsen,1952,,Danish,,21st-century classical
Juan_Manuel_Abras,Juan Manuel Abras,1975,,Swedish-Argentine,,21st-century classical
Claude_Abravanel,Claude Abravanel,1924,2012,Swiss,,21st-century classical
José_Antonio_Abreu,José Antonio Abreu,1939,2018,Venezuelan,,21st-century classical
Antón_García_Abril,Antón García Abril,1933,,Spanish,,21st-century classical
Ahmed_Achour,Ahmed Achour,1945,,Tunisian,,21st-century classical
Rodolfo_Acosta_(composer),Rodolfo Acosta,1970,,Colombian,,21st-century classical
Tomomi_Adachi,Tomomi Adachi,1972,,Japanese,,21st-century classical
Byron_Adams,Byron Adams,1955,,American,,21st-century classical
John_Adams_(composer),John Adams,1947,,American,On the Transmigration of Souls,21st-century classical
John_Luther_Adams,John Luther Adams,1953,,American,Become Ocean,21st-century classical
Samuel_Carl_Adams,Samuel Carl Adams,1985,,American,,21st-century classical
Mohamed_Abdelwahab_Abdelfattah,Mohamed AbdelwahabAbdelfattah,1962,,Egyptian,,21st-century classical
Ali_Ahmadifar,Ali Ahmadifar,1976,,Iranian,,21st-century classical
Thomas_Adès,Thomas Adès,1971,,British,The Tempest,21st-century classical
Samuel_Adler_(composer),Samuel Adler,1928,,German-American,"A Bridge to Understanding, All Nature Plays, Drifting on Winds and Currents, In the Spirit of Bach",21st-century classical
Klaus_Ager,Klaus Ager,1946,,Austrian,,21st-century classical
Nazanin_Aghakhani,Nazanin Aghakhani,1980,,Austrian,,21st-century classical
Kati_Agócs,Kati Agócs,1975,,Canadian,,21st-century classical
Lejla_Agolli,Lejla Agolli,1950,,American,,21st-century classical
Ernani_Aguiar,Ernani Aguiar,1950,,Brazilian,,21st-century classical
Herbert_H._Ágústsson,Herbert H. Ágústsson,1926,2017,Icelandic,,21st-century classical
Kalevi_Aho,Kalevi Aho,1949,,Finnish,,21st-century classical
Sieglinde_Ahrens,Sieglinde Ahrens,1936,,German,,21st-century classical
Robert_Aitken_(composer),Robert Aitken,1939,,Canadian,,21st-century classical
Tevfik_Akbaşlı,Tevfik Akbaşlı,1962,,Turkish,,21st-century classical
Eleanor_Alberga,Eleanor Alberga,1949,,Jamaican,,21st-century classical
Michael_Alcorn,Michael Alcorn,1962,,Northern Irish,,21st-century classical
Leni_Alexander,Leni Alexander,1924,2005,German-Chilean,,21st-century classical
Franghiz_Ali-Zadeh,Franghiz Ali-Zadeh,1947,,Azerbaijani,,21st-century classical
Douglas_Allanbrook,Douglas Allanbrook,1921,2003,American,,21st-century classical
Giovanni_Allevi,Giovanni Allevi,1969,,Italian,,21st-century classical
Kristi_Allik,Kristi Allik,1952,,Canadian,,21st-century classical
António_Victorino_de_Almeida,António Victorino de Almeida,1940,,Portuguese,,21st-century classical
Eduardo_Alonso-Crespo,Eduardo Alonso-Crespo,1956,,Argentine,,21st-century classical
Javier_Álvarez_(composer),Javier Álvarez,1956,,Mexican,,21st-century classical
Miguel_Álvarez-Fernández,Miguel Álvarez-Fernández,1979,,Spanish,,21st-century classical
Maryanne_Amacher,Maryanne Amacher,1943,2009,American,,21st-century classical
Masamichi_Amano,Masamichi Amano,1957,,Japanese,,21st-century classical
Claudio_Ambrosini,Claudio Ambrosini,1948,,Italian,,21st-century classical
Charles_Amirkhanian,Charles Amirkhanian,1945,,American,,21st-century classical
David_Amram,David Amram,1930,,American,,21st-century classical
Gilbert_Amy,Gilbert Amy,1936,,French,,21st-century classical
Beth_Anderson_(composer),Beth Anderson,1950,,American,,21st-century classical
Julian_Anderson,Julian Anderson,1967,,British,,21st-century classical
William_Anderson_(guitarist),William Anderson,1962,,American,,21st-century classical
Mark_Andre,Mark Andre,1964,,French,,21st-century classical
Samuel_Andreyev,Samuel Andreyev,1981,,Canadian,Vérifications; A propos du concert de la semaine dernère.,21st-century classical
Louis_Andriessen,Louis Andriessen,1939,,Dutch,La Commedia; La Giro; Anais Nin; Mysterien; Agamemnon; Theater of the World.,21st-century classical
István_Anhalt,István Anhalt,1919,2012,Hungarian-Canadian,,21st-century classical
Theodore_Antoniou,Theodore Antoniou,1935,2018,Greek,,21st-century classical
Vijay_Antony,Vijay Antony,1975,,Indian,,21st-century classical
Georges_Aperghis,Georges Aperghis,1945,,Greek,,21st-century classical
Denis_ApIvor,Denis ApIvor,1916,2004,British,,21st-century classical
Edward_Applebaum,Edward Applebaum,1937,,American,,21st-century classical
Garbis_Aprikian,Garbis Aprikian,1926,,Armenian,,21st-century classical
Atar_Arad,Atar Arad,1945,,Israeli-American,,21st-century classical
Chaya_Arbel,Chaya Arbel,1921,2007,Israeli,,21st-century classical
Dominick_Argento,Dominick Argento,1927,2019,American,,21st-century classical
Anneli_Arho,Anneli Arho,1951,,Finnish,,21st-century classical
Craig_Armstrong_(composer),Craig Armstrong,1959,,Scottish,,21st-century classical
Gheorghi_Arnaoudov,Gheorghi Arnaoudov,1957,,Bulgarian,,21st-century classical
Richard_Arnell,Richard Arnell,1917,2009,British,,21st-century classical
Malcolm_Arnold,Malcolm Arnold,1921,2006,British,,21st-century classical
Vyacheslav_Artyomov,Vyacheslav Artyomov,1940,,Russian,,21st-century classical
Alexander_Arutiunian,Alexander Arutiunian,1920,2012,Armenian,,21st-century classical
Patrick_Ascione,Patrick Ascione,1953,,French,,21st-century classical
Nicholas_Anthony_Ascioti,Nicholas Anthony Ascioti,1974,,American,,21st-century classical
Robert_Ashley,Robert Ashley,1930,2014,American,,21st-century classical
Daniel_Asia,Daniel Asia,1953,,American,,21st-century classical
Peter_Askim,Peter Askim,1971,,American,,21st-century classical
Kenneth_Atchley,Kenneth Atchley,1954,,American,,21st-century classical
Basil_Athanasiadis,Basil Athanasiadis,1970,,Greek,,21st-century classical
Lera_Auerbach,Lera Auerbach,1973,,Russian-American,,21st-century classical
Rafał_Augustyn_(composer),Rafał Augustyn,1951,,Polish,,21st-century classical
Larry_Austin,Larry Austin,1930,2018,American,,21st-century classical
Tzvi_Avni,Tzvi Avni,1927,,Israeli,,21st-century classical
Ana-Maria_Avram,Ana-Maria Avram,1961,,Romanian,,21st-century classical
James_Francis_Brown,James Francis Brown,1969,,British,,21st-century classical
Richard_Ayres,Richard Ayres,1965,,British,,21st-century classical
Svitlana_Azarova,Svitlana Azarova,1976,,Ukrainian-Dutch,Opera Momo and the Time Thieves,21st-century classical
Sérgio_Azevedo,Sérgio Azevedo,1968,,Portuguese,,21st-century classical
Milton_Babbitt,Milton Babbitt,1916,2011,American,,21st-century classical
Nicolas_Bacri,Nicolas Bacri,1961,,French,"opus 72 Sinfonietta, for string orchestra; opus 75 Sonata No. 2 for violin and piano",21st-century classical
Vera_Baeva,Vera Baeva,1930,,Bulgarian,,21st-century classical
Junsang_Bahk,Junsang Bahk,1937,,South Korean,,21st-century classical
Simon_Bainbridge,Simon Bainbridge,1952,,British,,21st-century classical
Claude_Baker,Claude Baker,1948,,American,,21st-century classical
Leonardo_Balada,Leonardo Balada,1933,,Spanish-American,,21st-century classical
Osvaldas_Balakauskas,Osvaldas Balakauskas,1937,,Lithuanian,,21st-century classical
Virko_Baley,Virko Baley,1938,,Ukrainian-American,,21st-century classical
Claude_Ballif,Claude Ballif,1924,2004,French,,21st-century classical
Alain_Bancquart,Alain Bancquart,1934,,French,,21st-century classical
Cacilda_Borges_Barbosa,Cacilda Borges Barbosa,1914,2010,Brazilian,,21st-century classical
Vytautas_Barkauskas,Vytautas Barkauskas,1931,,Lithuanian,,21st-century classical
Warren_Barker,Warren Barker,1923,2006,American,,21st-century classical
Clarence_Barlow,Clarence Barlow,1945,,British,,21st-century classical
James_Barnes_(composer),James Barnes,1949,,American,,21st-century classical
Natasha_Barrett_(composer),Natasha Barrett,1972,,British,,21st-century classical
Richard_Barrett_(composer),Richard Barrett,1959,,British,Dark Matter; Construction,21st-century classical
Gerald_Barry_(composer),Gerald Barry,1952,,Irish,,21st-century classical
Carin_Bartosch_Edström,Carin Bartosch Edström,1965,,Swedish,,21st-century classical
Django_Bates,Django Bates,1960,,British,,21st-century classical
Dennis_Báthory-Kitsz,Dennis Báthory-Kitsz,1949,,American,,21st-century classical
Carola_Bauckholt,Carola Bauckholt,1959,,German,,21st-century classical
Michael_Vincent_(composer),Michael Vincent,1976,,Canadian,,21st-century classical
François_Bayle,François Bayle,1932,,French,,21st-century classical
Sally_Beamish,Sally Beamish,1956,,British,,21st-century classical
Emily_Bear,Emily Bear,2001,,American,,21st-century classical
Robert_Beaser,Robert Beaser,1954,,American,,21st-century classical
Richard_Beaudoin,Richard Beaudoin,1975,,American,,21st-century classical
Jeremy_Beck,Jeremy Beck,1960,,American,,21st-century classical
John_Beckwith_(composer),John Beckwith,1927,,Canadian,,21st-century classical
David_Bedford,David Bedford,1937,2011,British,,21st-century classical
Eve_Beglarian,Eve Beglarian,1958,,American,The Bus Driver Didn't Change His Mind; FlamingO; Book of Days,21st-century classical
David_Behrman,David Behrman,1937,,American,,21st-century classical
Luca_Belcastro,Luca Belcastro,1964,,Italian,,21st-century classical
Iain_Bell,Iain Bell,1980,,English,,21st-century classical
Barbara_Benary,Barbara Benary,1946,2019,American,,21st-century classical
Juraj_Beneš,Juraj Beneš,1940,2004,Slovak,,21st-century classical
George_Benjamin_(composer),George Benjamin,1960,,British,,21st-century classical
Richard_Rodney_Bennett,Richard Rodney Bennett,1936,2012,British,,21st-century classical
Pascal_Bentoiu,Pascal Bentoiu,1927,2016,Romanian,,21st-century classical
Esteban_Benzecry,Esteban Benzecry,1970,,Argentine,,21st-century classical
Flint_Juventino_Beppe,Flint Juventino Beppe,1973,,Norwegian,,21st-century classical
Arthur_Berger_(composer),Arthur Berger,1912,2003,American,,21st-century classical
Luciano_Berio,Luciano Berio,1925,2003,Italian,Piano Sonata; Sequenza XIV for cello,21st-century classical
Michael_Berkeley,Michael Berkeley,1948,,British,,21st-century classical
Bart_Berman,Bart Berman,1938,,Dutch-Israeli,,21st-century classical
Derek_Bermel,Derek Bermel,1967,,American,,21st-century classical
Charles_Roland_Berry,Charles Roland Berry,1957,,American,,21st-century classical
Christophe_Bertrand,Christophe Bertrand,1981,2010,French,,21st-century classical
Oscar_Bianchi,Oscar Bianchi,1975,,Italian and Swiss,,21st-century classical
Gilbert_Biberian,Gilbert Biberian,1944,,British,,21st-century classical
Judith_Bingham,Judith Bingham,1952,,British,,21st-century classical
Harrison_Birtwistle,Harrison Birtwistle,1934,,British,,21st-century classical
Joseph_Bishara,Joseph Bishara,1970,,American,,21st-century classical
