article,name,birth,death,era
Mlle Duval,Mlle Duval,1718,after 1775,Classical-era
Giuseppe Scarlatti,Giuseppe Scarlatti,1718/1723,1777,Classical-era
Élisabeth de Haulteterre,Élisabeth de Haulteterre,,1768,Classical-era
Jean Baur,Jean Baur,1719,1773,Classical-era
William Walond Sr.,William Walond Sr.,1719,1768,Classical-era
Louis-François Joseph Patouart,Louis-François Joseph Patouart,1719,1793,Classical-era
Johann Friedrich Agricola,Johann Friedrich Agricola,1720,1774,Classical-era
Johann Christoph Altnickol,Johann Christoph Altnickol,1720,1759,Classical-era
Christophe Le Menu de Saint-Philbert,Christophe Le Menu de Saint Philibert,1720,1774,Classical-era
Carlo Antonio Campioni,Carlo Antonio Campioni,1720,1788,Classical-era
Gioacchino Cocchi,Gioacchino Cocchi,1720,1804,Classical-era
Pietro Denis,Pietro Denis,1720,1790,Classical-era
Bernhard Joachim Hagen,Bernhard Joachim Hagen,1720,1787,Classical-era
Maria Teresa Agnesi Pinottini,Maria Teresa Agnesi Pinottini,1720,1795,Classical-era
Joan Baptista Pla,Joan Baptista Pla,c. 1720,1773,Classical-era
Louis Aubert,Louis Aubert,1720,1800,Classical-era
Quirino Gasparini,Quirino Gasparini,1721,1778,Classical-era
Pieter Hellendaal,Pieter Hellendaal,1721,1799,Classical-era
Johann Philipp Kirnberger,Johann Philipp Kirnberger,1721,1783,Classical-era
Johann Ernst Bach II,Johann Ernst Bach II,1722,1777,Classical-era
Pietro Nardini,Pietro Nardini,1722,1793,Classical-era
Carl Friedrich Abel,Carl Friedrich Abel,1723,1787,Classical-era
Christian Ernst Graf,Christian Ernst Graf,1723,1804,Classical-era
Anna Amalia Princess of Prussia,Anna Amalia Princess of Prussia,1723,1787,Classical-era
Giovanni Marco Rutini,Giovanni Marco Rutini,1723,1797,Classical-era
Francesco Uttini,Francesco Uttini,1723,1795,Classical-era
Claude Balbastre,Claude Balbastre,1724,1799,Classical-era
Giovanni Battista Cirri,Giovanni Battista Cirri,1724,1808,Classical-era
Rafael Antonio Castellanos,Rafael Antonio Castellanos,1725,1791,Classical-era
Domenico Fischietti,Domenico Fischietti,c. 1725,c. 1810,Classical-era
Giovanni Battista Gervasio,Giovanni Battista Gervasio,c. 1725,c. 1785,Classical-era
Antonio Lolli,Antonio Lolli,1725,1802,Classical-era
Santa della Pietà,Santa della Pietà,,after 1774,Classical-era
Miss Davis,Miss Davis,c. 1726,after 1755,Classical-era
Karl Kohaut,Karl Kohaut,1726,1784,Classical-era
François-André Danican Philidor,François-André Danican Philidor,1726,1795,Classical-era
Josef Starzer,Joseph Starzer,c. 1726,1787,Classical-era
Pasquale Anfossi,Pasquale Anfossi,1727,1797,Classical-era
Pierre Montan Berton,Pierre Montan Berton,1727,1780,Classical-era
Johann Gottlieb Goldberg,Johann Gottlieb Goldberg,1727,1756,Classical-era
Friedrich Hartmann Graf,Friedrich Hartmann Graf,1727,1795,Classical-era
Henry Harington,Henry Harington,1727,1816,Classical-era
Johann Wilhelm Hertel,Johann Wilhelm Hertel,1727,1789,Classical-era
Tommaso Traetta,Tommaso Traetta,1727,1779,Classical-era
Armand-Louis Couperin,Armand-Louis Couperin,1727,1789,Classical-era
Franz Asplmayr,Franz Asplmayr,1728,1786,Classical-era
Pietro Alessandro Guglielmi,Pietro Alessandro Guglielmi,1728,1804,Classical-era
Johann Adam Hiller,Johann Adam Hiller,1728,1804,Classical-era
Johann Gottfried Müthel,Johann Gottfried Müthel,1728,1788,Classical-era
Hermann Raupach,Hermann Raupach,1728,1778,Classical-era
Anton Cajetan Adlgasser,Anton Cajetan Adlgasser,1729,1777,Classical-era
Florian Leopold Gassmann,Florian Leopold Gassmann,1729,1774,Classical-era
Pierre van Maldere,Pierre van Maldere,1729,1768,Classical-era
Pierre-Alexandre Monsigny,Pierre-Alexandre Monsigny,1729,1817,Classical-era
František Xaver Pokorný,František Xaver Pokorný,1729,1794,Classical-era
Giuseppe Sarti,Giuseppe Sarti,1729,1802,Classical-era
Capel Bond,Capel Bond,1730,1790,Classical-era
Pasquale Errichelli,Pasquale Errichelli,1730,1785,Classical-era
Jackson of Exeter,William Jackson,1730,1803,Classical-era
Antonín Kammel,Antonín Kammel,1730,1788,Classical-era
Cristiano Giuseppe Lidarti,Cristiano Giuseppe Lidarti,1730,1795,Classical-era
Georg von Pasterwitz,Georg von Pasterwitz,1730,1803,Classical-era
Antonio Sacchini,Antonio Sacchini,1730,1786,Classical-era
Christian Cannabich,Christian Cannabich,1731,1798,Classical-era
František Xaver Dušek,František Xaver Dušek,1731,1799,Classical-era
Elisabetta de Gambarini,Elisabetta de Gambarini,1731,1765,Classical-era
Gaetano Pugnani,Gaetano Pugnani,1731,1798,Classical-era
Théodore-Jean Tarade,Théodore-Jean Tarade,1731,1788,Classical-era
Pierre Vachon,Pierre Vachon,1731,1803,Classical-era
Johann Christoph Friedrich Bach,Johann Christoph Friedrich Bach,1732,1795,Classical-era
František Xaver Brixi,František Xaver Brixi,1732,1771,Classical-era
Giuseppe Demachi,Giuseppe Demachi,1732,c. 1791,Classical-era
Johann Christian Kittel,Johann Christian Kittel,1732,1809,Classical-era
Thomas Sanders Dupuis,Thomas Sanders Dupuis,1733,1796,Classical-era
Johann Christian Fischer,Johann Christian Fischer,1733,1800,Classical-era
Thomas Linley the elder,Thomas Linley the elder,1733,1795,Classical-era
Giacomo Tritto,Giacomo Tritto,1733,1824,Classical-era
Franz Ignaz Beck,Franz Ignaz Beck,1734,1809,Classical-era
Jean-Jacques Beauvarlet Charpentier,Jean-Jacques Beauvarlet Charpentier,1734,1794,Classical-era
Benjamin Cooke,Benjamin Cooke,1734,1793,Classical-era
François-Joseph Gossec,François-Joseph Gossec,1734,1829,Classical-era
Karl von Ordóñez,Karl von Ordóñez,1734,1786,Classical-era
Jean-Baptiste Rey,Jean-Baptiste Rey,1734,1810,Classical-era
Luka Sorkočević,Luka Sorkočević,1734,1789,Classical-era
Johann Gottfried Eckard,Johann Gottfried Eckard,1735,1809,Classical-era
Mme Papavoine,Mme Papavoine,c. 1735,,Classical-era
Anton Schweitzer,Anton Schweitzer,1735,1787,Classical-era
Johann Schobert,Johann Schobert,c. 1735,1767,Classical-era
Ernst Wilhelm Wolf,Ernst Wilhelm Wolf,1735,1792,Classical-era
Johann Georg Albrechtsberger,Johann Georg Albrechtsberger,1736,1809,Classical-era
Carl Friedrich Christian Fasch,Carl Friedrich Christian Fasch,1736,1800,Classical-era
Ignaz Fränzl,Ignaz Fränzl,1736,1811,Classical-era
Johann Christoph Kellner,Johann Christoph Kellner,1736,1803,Classical-era
Antonio Tozzi,Antonio Tozzi,1736,1812,Classical-era
Philippe-Jacques Meyer,Philippe-Jacques Meyer,1737,1819,Classical-era
Josef Mysliveček,Josef Mysliveček,1737,1781,Classical-era
Tommaso Giordani,Tommaso Giordani,c. 1738,1806,Classical-era
William Herschel,William Herschel,1738,1822,Classical-era
Leopold Hofmann,Leopold Hofmann,1738,1793,Classical-era
Carl Ditters von Dittersdorf,Carl Ditters von Dittersdorf,1739,1799,Classical-era
Johann Baptist Wanhal,Johann Baptist Wanhal,1739,1813,Classical-era
"Anna Amalia, Duchess of Saxe-Weimar-Eisenach","Anna Amalia, Duchess of Saxe-Weimar-Eisenach",1739,1807,Classical-era
Agata della Pietà,Agata della Pietà,,c. 1800,Classical-era
Michael Arne,Michael Arne,1740,1786,Classical-era
Joseph Corfe,Joseph Corfe,1740,1820,Classical-era
Ernst Eichner,Ernst Eichner,1740,1777,Classical-era
Luigi Gatti,Luigi Gatti,1740,1817,Classical-era
Guillaume Lasceux,Guillaume Lasceux,1740,1831,Classical-era
Elisabeth Olin,Elisabeth Olin,1740,1828,Classical-era
Samuel Webbe,Samuel Webbe the elder,1740,1816,Classical-era
Johann André,Johann André,1741,1799,Classical-era
François-Hippolyte Barthélémon,François Hippolyte Barthélemon,1741,1808,Classical-era
Alexandro Marie Antoin Fridzeri,Alexandro Marie Antoin Fridzeri,1741,1819,Classical-era
André Ernest Modeste Grétry,André Ernest Modeste Grétry,1741,1813,Classical-era
Franz Xaver Hammer,Franz Xaver Hammer,1741,1817,Classical-era
Honoré Langlé,Honoré Langlé,1741,1807,Classical-era
Andrea Luchesi,Andrea Luchesi,1741,1801,Classical-era
Jean Paul Egide Martini,Jean Paul Egide Martini,1741,1816,Classical-era
Johann Gottlieb Naumann,Johann Gottlieb Naumann,1741,1801,Classical-era
Wenzel Pichl,Václav Pichl,1741,1804,Classical-era
Henri-Joseph Rigel,Henri-Joseph Rigel,1741,1799,Classical-era
Giacomo Rust,Giacomo Rust,1741,1786,Classical-era
Luigi Tomasini,Luigi Tomasini,1741,1808,Classical-era
Anton Zimmermann,Anton Zimmermann,1741,1781,Classical-era
Jean-Baptiste Davaux,Jean-Baptiste Davaux,1742,1822,Classical-era
Roman Hoffstetter,Romanus Hoffstetter,1742,1815,Classical-era
Jean-Baptiste Krumpholz,Jean-Baptiste Krumpholz,1742,1790,Classical-era
Vasily Pashkevich,Vasily Pashkevich,1742,1797,Classical-era
Anton Ferdinand Tietz,Anton Ferdinand Tietz,1742,1811,Classical-era
Maria Carolina Wolf,Maria Carolina Wolf,1742,1820,Classical-era
